Provider Name,Graduates,Region,Province,Municipality,Municipality Code,lat,lon
3A PRIME HOSPITALITY TRAINING AND ASSESSMENT CENTER INC.,2009,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.296323,123.898304
"AC-DC TRAINING AND ASSESSMENT CENTER, INC.",69,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,14.605733,120.987378
ALU-TUCP WORKERS TRAINING CENTER FOUNDATION INC.,24,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31672,123.89071
"BIT INTERNATIONAL COLLEGE - CARMEN, INC. INTEGRATED DIVERSIFIED ORGANIC FARM",55,Region VII - Central Visayas,Bohol,Carmen,PH0701212,10.31802531,123.8990059
"CLARTECH SKILLS TRAINING AND ASSESSMENT CENTER CLARIN, INC.",67,Region VII - Central Visayas,Bohol,Clarin,PH0701214,9.9626104,124.0244228
RAINBOW'S END ARTS AND CRAFTS TRAINING AND ASSESSMENT CENTER INC.,18,Region VII - Central Visayas,Bohol,Clarin,PH0701214,9.95311925,124.0090612
"BOHOL INTERNATIONAL LEARNING COLLEGE, INC.",63,Region VII - Central Visayas,Bohol,Cortes,PH0701216,9.7224822,123.8791768
AMERICAN INTERNATIONAL CULINARY & HOSPITALITY INSTITUTE,102,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.300957,123.899434
AMLO BROS. TRAINING AND EDUCATION CORP.,223,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.297178,123.908568
CDS CAPT. DAN SALAS TRAINING CENTER INC.,18,Region VII - Central Visayas,Bohol,Dauis,PH0701219,9.6252513,123.8651747
EGAY'S FARM INTEGRATED ORGANIC FARM,43,Region VII - Central Visayas,Bohol,Dauis,PH0701219,9.6206685,123.8053729
"ASIAN College of Technology International Educational Foundation, Inc.",6,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.300957,123.899434
JQL ORGANIC FARM INTEGRATED-DIVERSIFIED FARM,15,Region VII - Central Visayas,Bohol,Dimiao,PH0701220,9.6058011,124.162556
"B.I.G. DEV'T. TRAINING & ASSESSMENT CENTER, INC.",175,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.295115,123.863604
"BMC TRAINING CENTER FOR WELDING & FABRICATION, INC.",7,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31672,123.89071
"BRITECH COLLEGE, INC.",661,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31672,123.89071
CEBU CALL CENTER ACADEMY,3690,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31672,123.89071
CEBU MARY IMMACULATE COLLEGE,29,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31672,123.89071
CEBU TECHNICAL VOCATIONAL TRAINING AND ASSESSMENT ACADEMY INC.,103,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.287065,123.862124
EASTERN HEIGHTS SCHOOL OF EXCELLENCE INC.,45,Region VII - Central Visayas,Bohol,Duero,PH0701221,9.7084523,124.406042
"CENTER FOR HEALTHCARE PROFESSIONS CEBU, INC.",339,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31672,123.89071
BOW AND ARROW INSTITUTE OF TECHNOLOGY INC.,140,Region VII - Central Visayas,Bohol,Garcia Hernandez,PH0701222,9.614606,124.294462
"JOANNE SCHOOL OF TECHNOLOGY, INC.",79,Region VII - Central Visayas,Bohol,Garcia Hernandez,PH0701222,9.6654951,124.2922783
COLLEGE OF TECHNOLOGICAL SCIENCES-CEBU (CTS-C),51,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31672,123.89071
"DON BOSCO TECHNICAL COLLEGE-CEBU, INC.",9,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31365244,123.8941554
"DON BOSCO TECHNICAL VOCATIONAL EDUCATION AND TRAINING CENTER-PASIL, INC.",57,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,9.4252005,123.3507861
EP TRAINING CENTER INC.,23,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31731391,123.8922104
Provincial Training Center - (Inabanga),380,Region VII - Central Visayas,Bohol,Inabanga,PH0701224,10.0319052,124.0661494
"ESLFLEX.COM, INC.",0,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.3261748,123.9774365
"FIL-CANADIAN TRAINING AND DEVELOPMENT CENTER FOR CAREGIVERS, INCORPORATED",213,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31273811,123.8910816
GENTLE FAMILY HOME TRAINING CENTER INC.,87,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.339785,123.91166
GOLDEN RESOURCE ACADEMY FOR CAREER ENHANCEMENT INC.,42,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.324131,123.90625
"INTERNATIONAL CULINARY ARTS ACADEMY CEBU, INC.",18,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.296323,123.898304
INTERNATIONAL SCHOOL FOR CULINARY ARTS AND HOTEL MANAGEMENT CEBU INC.,154,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.320859,123.921569
"INTERNATIONAL SKILLS REPUBLIC ACADEMY, INC.",63,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.312599,123.891006
Provincial Training Center - (Jagna),360,Region VII - Central Visayas,Bohol,Jagna,PH0701225,9.6501914,124.3661633
"TAUG TECHNICAL INSTITUTE AND ASSESSMENT CENTER, INC.",18,Region VII - Central Visayas,Bohol,Lila,PH0701227,9.5914176,124.0722548
KLN SKILLS & MANAGEMENT TRAINING AND ASSESSMENT CENTER INC.,564,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.295488,123.901955
MADRIDEJOS COMMUNITY COLLEGE,45,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,11.2643,123.7177
MAGSAYSAY CENTER FOR HOSPITALITY & CULINARY ARTS INC.,230,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.3052958,123.8976266
"METRO DUMAGUETE COLLEGE, INC.",0,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31672,123.89071
"MGB SKILLS DEVELOPMENT AND ASSESSMENT CENTER, INC.",1503,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.342131,123.889215
MINDWORLD SKILLS DEVELOPMENT AND TRAINING CORPORATION DOING BUSINESS UNDER MINDWORLD,30,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31672,123.89071
LOBOC LEARNING CENTER FOR EXCELLENCE,55,Region VII - Central Visayas,Bohol,Loboc,PH0701229,9.64489,124.02819
N BLESSING FARM INTEGRATED-DIVERSIFIED FARM,32,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.296323,123.898304
PRIMORDIAL TRAINING CENTER INC.,27,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31116849,123.9163164
LOON MANPOWER DEVELOPMENT CENTER,97,Region VII - Central Visayas,Bohol,Loon,PH0701230,9.7965175,123.7901057
R & K WATANABE SKILLS TRAINING INSTITUTE INC.,755,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.29461937,123.8847881
CLOA TECHNICAL INSTITUTE AND ASSESSMENT CENTER INC.,15,Region VII - Central Visayas,Bohol,Panglao,PH0701233,9.587635966,123.757704
Regional Training Center - VII (Cebu),902,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.324131,123.90625
"SCHOOL OF KNOWLEDGE FOR INDUSTRIAL LABOR, LEADERSHIP AND SERVICE, INC.",251,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31672,123.89071
SICES INSTITUTE OF HEALTHCARE AND VOCATIONAL STUDIES INC.,133,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.3113549,123.89235
"ST. PAUL COLLEGE FOUNDATION, INC.",76,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.296323,123.898304
THE FOUNDATION FOR PROFESSIONAL TRAINING INC. DOING BUSINESS UNDER THE NAME AND STYLE OF ANIHAN TECH,594,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.31672,123.89071
UNIVERSITY OF CEBU (UC) - MAMBALING CAMPUS,24,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.296323,123.898304
"UNIVERSITY OF CEBU (UC)-BANILAD, INC.",51,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.338639,123.911835
Provincial Training Center - (Pilar),414,Region VII - Central Visayas,Bohol,Pilar,PH0701234,9.836587,124.3336883
ADVANCE SCHOOL FOR INTERNATIONAL HOSPITALITY SERVICES INC.,55,Region VII - Central Visayas,Bohol,Tagbilaran City,PH0701242,9.65556,123.85219
"ASIAN DIVINE LIGHT COLLEGE, INC.",94,Region VII - Central Visayas,Bohol,Tagbilaran City,PH0701242,9.65556,123.85219
"UNIVERSITY OF CEBU AT PARDO AND TALISAY, INC.",0,Region VII - Central Visayas,Cebu,Cebu City (Capital),PH0702217,10.297309,123.8895265
