SOC,AIOE
39-9011.01,-0.620764093503558
39-9031.00,-2.1445563057878494
39-9032.00,-0.34654084785909667
39-9041.00,0.37744505813925405
41-1011.00,-0.08129849969600597
41-1012.00,1.128280911286404
41-2011.00,-0.328957921083074
41-2012.00,-0.15099712551111377
41-2021.00,-0.021540173916582733
41-2022.00,-0.22034295538381515
41-2031.00,-0.012635725361676425
41-3011.00,1.0705194727538554
41-3021.00,1.2505173651830495
41-3031.00,1.3155881550290156
41-3041.00,1.0412998412967294
41-4011.00,1.0328183817914292
41-4011.07,1.0506936744978643
41-4012.00,0.5153341600660117
41-9011.00,0.02386735833034993
41-9012.00,-1.3506535488685132
41-9021.00,1.0574705468937986
41-9022.00,0.7706851547579093
41-9031.00,1.1301939761299715
41-9041.00,1.0795525486201625
41-9091.00,1.0145565702449164
43-1011.00,0.9456983029294329
43-2011.00,0.8444499475513594
43-2021.00,0.8794954357590227
43-3011.00,1.180784811080226
43-3021.00,1.007904894311804
43-3031.00,0.9469281462772959
43-3041.00,0.1610896018271485
43-3051.00,1.0871796792483404
43-3061.00,1.1433609093374133
43-3071.00,0.37572653725002414
43-4011.00,1.052744951975515
43-4021.00,1.1729700833740782
43-4031.00,0.8134115274119404
43-4041.00,1.1843351788737668
43-4051.00,0.9629459745442739
43-4061.00,1.1458437454532098
43-4071.00,0.17770032455962875
43-4081.00,0.5101945500514448
43-4111.00,1.1873154955236864
43-4121.00,0.10481105731086658
43-4131.00,1.273810988503865
43-4141.00,1.002755105143461
43-4151.00,1.037651569817864
43-4161.00,1.2623911599504438
43-4171.00,0.9380611170416764
43-4181.00,0.12839021508751947
43-5011.00,0.5822074888767524
43-5011.01,0.8545255137010148
43-5021.00,-1.0667742938745437
43-5031.00,0.7863025474171983
43-5032.00,1.096197891448219
43-5041.00,-1.0801030860019372
43-5051.00,-0.6230347477840792
43-5052.00,-1.1731159019066917
43-5053.00,-1.2942345169711835
43-5061.00,0.754947524675795
43-5071.00,-0.852355785236329
43-5111.00,-0.28798610046550455
43-6011.00,0.9869789708672666
43-6012.00,0.8108962934050349
43-6013.00,0.9603157503903837
43-6014.00,1.0064736472881555
43-9021.00,0.21253484855454277
43-9022.00,0.5259741602171287
43-9031.00,0.542181194161566
43-9041.00,0.9887666322425293
43-9051.00,-0.9250415251550858
43-9061.00,0.8956086195344649
