2009 PSIC Code,Region Description,Job Subsector,Total Male,Total Female,Paid Male,Paid Female,Unpaid Male,Unpaid Female,Section Letter,Job Sector
S952,Region VIII (Eastern Visayas),Repair of personal and household goods,76,26,74,26,2,0,S,Other Service Activities
S961,Region VIII (Eastern Visayas),"Personal services for wellness, except sports activities",147,186,147,186,0,0,S,Other Service Activities
S962,Region VIII (Eastern Visayas),Laundry services,41,197,41,179,0,19,S,Other Service Activities
S963,Region VIII (Eastern Visayas),Funeral and related activities,238,92,222,60,16,33,S,Other Service Activities
S969,Region VIII (Eastern Visayas),"Other personal service activities, n.e.c.",,,,,,,S,Other Service Activities
,Region IX (Zamboanga Peninsula),,,,,,,,S,Other Service Activities
S951,Region IX (Zamboanga Peninsula),Repair of computers and communications equipment,9,8,9,8,0,0,S,Other Service Activities
S952,Region IX (Zamboanga Peninsula),Repair of personal and household goods,121,37,115,37,6,0,S,Other Service Activities
S961,Region IX (Zamboanga Peninsula),"Personal services for wellness, except sports activities",230,444,217,419,12,25,S,Other Service Activities
S962,Region IX (Zamboanga Peninsula),Laundry services,0,61,0,48,0,13,S,Other Service Activities
S963,Region IX (Zamboanga Peninsula),Funeral and related activities,129,15,116,14,13,1,S,Other Service Activities
S969,Region IX (Zamboanga Peninsula),"Other personal service activities, n.e.c.",17,28,17,28,0,0,S,Other Service Activities
,Region X (Northern Mindanao),,,,,,,,S,Other Service Activities
S951,Region X (Northern Mindanao),Repair of computers and communications equipment,28,9,19,9,9,0,S,Other Service Activities
S952,Region X (Northern Mindanao),Repair of personal and household goods,207,81,201,72,6,9,S,Other Service Activities
S961,Region X (Northern Mindanao),"Personal services for wellness, except sports activities",271,896,271,896,0,0,S,Other Service Activities
S962,Region X (Northern Mindanao),Laundry services,26,161,7,141,19,21,S,Other Service Activities
S963,Region X (Northern Mindanao),Funeral and related activities,184,139,180,135,4,4,S,Other Service Activities
S969,Region X (Northern Mindanao),"Other personal service activities, n.e.c.",,,,,,,S,Other Service Activities
,Region XI (Davao Region),,,,,,,,S,Other Service Activities
S951,Region XI (Davao Region),Repair of computers and communications equipment,41,25,37,24,4,1,S,Other Service Activities
S952,Region XI (Davao Region),Repair of personal and household goods,250,80,237,75,13,5,S,Other Service Activities
S961,Region XI (Davao Region),"Personal services for wellness, except sports activities",419,746,419,723,0,23,S,Other Service Activities
S962,Region XI (Davao Region),Laundry services,3,593,3,571,0,22,S,Other Service Activities
S963,Region XI (Davao Region),Funeral and related activities,352,225,352,210,0,15,S,Other Service Activities
S969,Region XI (Davao Region),"Other personal service activities, n.e.c.",15,10,15,10,0,0,S,Other Service Activities
,Region XII (SOCCSKSARGEN),,,,,,,,S,Other Service Activities
S951,Region XII (SOCCSKSARGEN),Repair of computers and communications equipment,13,8,12,7,1,1,S,Other Service Activities
S952,Region XII (SOCCSKSARGEN),Repair of personal and household goods,120,40,114,35,6,5,S,Other Service Activities
S961,Region XII (SOCCSKSARGEN),"Personal services for wellness, except sports activities",314,442,314,442,0,0,S,Other Service Activities
S962,Region XII (SOCCSKSARGEN),Laundry services,18,89,18,89,0,0,S,Other Service Activities
S963,Region XII (SOCCSKSARGEN),Funeral and related activities,217,81,217,81,0,0,S,Other Service Activities
S969,Region XII (SOCCSKSARGEN),"Other personal service activities, n.e.c.",12,10,7,5,5,5,S,Other Service Activities
,Region XIII (Caraga),,,,,,,,S,Other Service Activities
S951,Region XIII (Caraga),Repair of computers and communications equipment,5,9,5,9,0,0,S,Other Service Activities
S952,Region XIII (Caraga),Repair of personal and household goods,103,20,102,20,2,0,S,Other Service Activities
S961,Region XIII (Caraga),"Personal services for wellness, except sports activities",48,320,48,320,0,0,S,Other Service Activities
S962,Region XIII (Caraga),Laundry services,0,103,0,103,0,0,S,Other Service Activities
S963,Region XIII (Caraga),Funeral and related activities,108,46,107,46,1,0,S,Other Service Activities
S969,Region XIII (Caraga),"Other personal service activities, n.e.c.",,,,,,,S,Other Service Activities
,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),,,,,,,,S,Other Service Activities
S951,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Repair of computers and communications equipment,32,8,29,7,3,1,S,Other Service Activities
S952,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Repair of personal and household goods,,,,,,,S,Other Service Activities
S961,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),"Personal services for wellness, except sports activities",124,34,20,34,105,0,S,Other Service Activities
S962,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Laundry services,0,13,0,13,0,0,S,Other Service Activities
S963,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Funeral and related activities,18,8,18,8,0,0,S,Other Service Activities
,Philippines,,,,,,,,H,Transportation and Storage
H491,Philippines,Transport via railways,3224,1495,3224,1495,0,0,H,Transportation and Storage
H492,Philippines,Transport via buses,22660,1963,22422,1937,238,26,H,Transportation and Storage
H493,Philippines,Other land transport,28526,4193,28062,4114,465,79,H,Transportation and Storage
H501,Philippines,Sea and coastal water transport,15297,3125,15067,3089,230,35,H,Transportation and Storage
H502,Philippines,Inland water transport,241,50,224,49,17,1,H,Transportation and Storage
H511,Philippines,Passenger air transport,5373,5313,5373,5313,0,0,H,Transportation and Storage
H512,Philippines,Freight air transport,,,,,,,H,Transportation and Storage
H521,Philippines,Warehousing and storage,11001,4113,10989,4103,12,10,H,Transportation and Storage
H522,Philippines,Support activities for transportation,56687,28786,56596,28756,90,30,H,Transportation and Storage
H531,Philippines,Postal activities,,,,,,,H,Transportation and Storage
H532,Philippines,Courier activities,16381,6121,16363,6095,18,27,H,Transportation and Storage
,National Capital Region (NCR),,,,,,,,H,Transportation and Storage
H491,National Capital Region (NCR),Transport via railways,3224,1495,3224,1495,0,0,H,Transportation and Storage
H492,National Capital Region (NCR),Transport via buses,6480,529,6326,529,154,0,H,Transportation and Storage
H493,National Capital Region (NCR),Other land transport,8104,1579,8099,1569,5,10,H,Transportation and Storage
H501,National Capital Region (NCR),Sea and coastal water transport,5610,1253,5600,1252,10,1,H,Transportation and Storage
H502,National Capital Region (NCR),Inland water transport,,,,,,,H,Transportation and Storage
H511,National Capital Region (NCR),Passenger air transport,5346,5303,5346,5303,0,0,H,Transportation and Storage
H512,National Capital Region (NCR),Freight air transport,,,,,,,H,Transportation and Storage
H521,National Capital Region (NCR),Warehousing and storage,2230,1010,2230,1002,0,8,H,Transportation and Storage
H522,National Capital Region (NCR),Support activities for transportation,38853,23607,38836,23595,16,12,H,Transportation and Storage
H531,National Capital Region (NCR),Postal activities,,,,,,,H,Transportation and Storage
H532,National Capital Region (NCR),Courier activities,15413,5789,15404,5771,9,18,H,Transportation and Storage
,Cordillera Administrative Region (CAR),,,,,,,,H,Transportation and Storage
H492,Cordillera Administrative Region (CAR),Transport via buses,65,11,62,10,3,1,H,Transportation and Storage
H493,Cordillera Administrative Region (CAR),Other land transport,43,9,42,8,1,1,H,Transportation and Storage
H522,Cordillera Administrative Region (CAR),Support activities for transportation,,,,,,,H,Transportation and Storage
H532,Cordillera Administrative Region (CAR),Courier activities,,,,,,,H,Transportation and Storage
,Region I (Ilocos Region),,,,,,,,H,Transportation and Storage
H492,Region I (Ilocos Region),Transport via buses,1198,88,1184,86,14,2,H,Transportation and Storage
H493,Region I (Ilocos Region),Other land transport,527,70,500,59,27,11,H,Transportation and Storage
H521,Region I (Ilocos Region),Warehousing and storage,90,29,80,29,10,0,H,Transportation and Storage
H522,Region I (Ilocos Region),Support activities for transportation,266,14,266,13,0,2,H,Transportation and Storage
H532,Region I (Ilocos Region),Courier activities,34,4,31,4,4,0,H,Transportation and Storage
,Region II (Cagayan Valley),,,,,,,,H,Transportation and Storage
H492,Region II (Cagayan Valley),Transport via buses,30,5,30,2,0,3,H,Transportation and Storage
H493,Region II (Cagayan Valley),Other land transport,,,,,,,H,Transportation and Storage
H501,Region II (Cagayan Valley),Sea and coastal water transport,205,41,198,36,7,5,H,Transportation and Storage
H511,Region II (Cagayan Valley),Passenger air transport,,,,,,,H,Transportation and Storage
H522,Region II (Cagayan Valley),Support activities for transportation,87,13,87,13,0,0,H,Transportation and Storage
,Region III (Central Luzon),,,,,,,,H,Transportation and Storage
H492,Region III (Central Luzon),Transport via buses,1959,299,1959,299,0,0,H,Transportation and Storage
H493,Region III (Central Luzon),Other land transport,3643,555,3634,545,10,10,H,Transportation and Storage
H521,Region III (Central Luzon),Warehousing and storage,1093,275,1091,275,2,0,H,Transportation and Storage
H522,Region III (Central Luzon),Support activities for transportation,1758,1042,1758,1042,0,0,H,Transportation and Storage
H532,Region III (Central Luzon),Courier activities,86,38,86,38,0,0,H,Transportation and Storage
,Region IV-A (CALABARZON),,,,,,,,H,Transportation and Storage
H492,Region IV-A (CALABARZON),Transport via buses,2846,200,2789,185,57,15,H,Transportation and Storage
H493,Region IV-A (CALABARZON),Other land transport,6352,605,6246,603,106,2,H,Transportation and Storage
H501,Region IV-A (CALABARZON),Sea and coastal water transport,1336,430,1336,430,0,0,H,Transportation and Storage
H521,Region IV-A (CALABARZON),Warehousing and storage,1354,380,1354,380,0,0,H,Transportation and Storage
H522,Region IV-A (CALABARZON),Support activities for transportation,3037,1499,3037,1499,0,0,H,Transportation and Storage
H532,Region IV-A (CALABARZON),Courier activities,448,50,443,45,6,6,H,Transportation and Storage
,MIMAROPA Region,,,,,,,,H,Transportation and Storage
H492,MIMAROPA Region,Transport via buses,,,,,,,H,Transportation and Storage
H493,MIMAROPA Region,Other land transport,210,20,188,20,22,0,H,Transportation and Storage
H501,MIMAROPA Region,Sea and coastal water transport,,,,,,,H,Transportation and Storage
H502,MIMAROPA Region,Inland water transport,38,2,38,2,0,0,H,Transportation and Storage
H521,MIMAROPA Region,Warehousing and storage,,,,,,,H,Transportation and Storage
H522,MIMAROPA Region,Support activities for transportation,238,36,238,36,0,0,H,Transportation and Storage
H532,MIMAROPA Region,Courier activities,,,,,,,H,Transportation and Storage
,Region V (Bicol Region),,,,,,,,H,Transportation and Storage
H492,Region V (Bicol Region),Transport via buses,318,63,318,63,0,0,H,Transportation and Storage
H493,Region V (Bicol Region),Other land transport,282,75,273,75,9,0,H,Transportation and Storage
H501,Region V (Bicol Region),Sea and coastal water transport,705,104,697,104,9,0,H,Transportation and Storage
H502,Region V (Bicol Region),Inland water transport,,,,,,,H,Transportation and Storage
H521,Region V (Bicol Region),Warehousing and storage,79,50,79,50,0,0,H,Transportation and Storage
H522,Region V (Bicol Region),Support activities for transportation,235,39,205,39,30,0,H,Transportation and Storage
H532,Region V (Bicol Region),Courier activities,,,,,,,H,Transportation and Storage
,Region VI (Western Visayas),,,,,,,,H,Transportation and Storage
H492,Region VI (Western Visayas),Transport via buses,1874,63,1874,63,0,0,H,Transportation and Storage
H493,Region VI (Western Visayas),Other land transport,1277,209,1272,203,5,6,H,Transportation and Storage
H501,Region VI (Western Visayas),Sea and coastal water transport,128,41,126,40,2,1,H,Transportation and Storage
H502,Region VI (Western Visayas),Inland water transport,14,10,14,10,0,0,H,Transportation and Storage
H521,Region VI (Western Visayas),Warehousing and storage,118,30,118,30,0,0,H,Transportation and Storage
H522,Region VI (Western Visayas),Support activities for transportation,779,152,779,152,0,0,H,Transportation and Storage
H532,Region VI (Western Visayas),Courier activities,35,52,35,52,0,0,H,Transportation and Storage
,Region VII (Central Visayas),,,,,,,,H,Transportation and Storage
H492,Region VII (Central Visayas),Transport via buses,743,163,743,163,0,0,H,Transportation and Storage
H493,Region VII (Central Visayas),Other land transport,1917,283,1892,276,24,8,H,Transportation and Storage
H501,Region VII (Central Visayas),Sea and coastal water transport,6495,1069,6295,1044,200,25,H,Transportation and Storage
H502,Region VII (Central Visayas),Inland water transport,,,,,,,H,Transportation and Storage
H511,Region VII (Central Visayas),Passenger air transport,,,,,,,H,Transportation and Storage
H521,Region VII (Central Visayas),Warehousing and storage,5583,2181,5583,2181,0,0,H,Transportation and Storage
H522,Region VII (Central Visayas),Support activities for transportation,4285,1421,4283,1421,2,0,H,Transportation and Storage
H532,Region VII (Central Visayas),Courier activities,25,14,25,14,0,0,H,Transportation and Storage
,Region VIII (Eastern Visayas),,,,,,,,H,Transportation and Storage
H492,Region VIII (Eastern Visayas),Transport via buses,224,22,215,17,9,5,H,Transportation and Storage
H493,Region VIII (Eastern Visayas),Other land transport,550,102,550,102,0,0,H,Transportation and Storage
H501,Region VIII (Eastern Visayas),Sea and coastal water transport,,,,,,,H,Transportation and Storage
H502,Region VIII (Eastern Visayas),Inland water transport,149,3,134,2,15,1,H,Transportation and Storage
H521,Region VIII (Eastern Visayas),Warehousing and storage,,,,,,,H,Transportation and Storage
H522,Region VIII (Eastern Visayas),Support activities for transportation,376,22,365,20,11,2,H,Transportation and Storage
H532,Region VIII (Eastern Visayas),Courier activities,,,,,,,H,Transportation and Storage
,Region IX (Zamboanga Peninsula),,,,,,,,H,Transportation and Storage
