Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,passing_rate_2023_agg,passing_rate_2024_agg
Cable TV Installer,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,N,,,,,,
Cacao Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,,,,,,
CAD Operator,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Cadet Marine Electrician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,,,,,,
Call Center Staff,Administrative and Support Service Activities,Call centers and other related activities,Not Higher Education,No,No,Y,,,,,,
Carbon Steel Plate Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Carbon Steel Plate/ Pipe Welder (MMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Caregiver (Newborn),Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,Y,,,,,,
Caregiver For People With Special Needs,Human Health and Social Work Activities,"Residential care activities for mental retardation, mental health and substance abuse",Not Higher Education,No,No,Y,,,,,,
Caregiver Nanny,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,Y,,,,,,
Cartoonist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,,,,,,
Casework Support Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,,,,,,
Cashier,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail sale in non-specialized stores,Not Higher Education,No,No,N,,,,,,
Cataloguer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,,,,,,
Cataloguing Officer,Library Science,Other information service activities,Higher Education,Yes,No,N,555,886,376,771,62.64,48.77
CATV Systems Technician,Information and Communication,Wired telecommunications activities,Not Higher Education,No,No,N,,,,,,
Certified Public Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,2740,8734,3058,10136,31.37,30.17
Certified Public Accountant (Healthcare),Accountancy,Hospital activities,Higher Education,Yes,No,Y,2740,8734,3058,10136,31.37,30.17
Chaplaincy Aide,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,N,,,,,,
Character Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,,,,,,
Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,N,,,,,,
Chef de Partie - Butcher Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,N,,,,,,
Chef de Partie - Entremetier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,N,,,,,,
Chef de Partie - Main Course Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,N,,,,,,
Chef de Partie - Saucier,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,N,,,,,,
Chemical Analyst (Agriculture),Chemistry,Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,594,1148,592,1088,51.74,54.41
Chemical Informatics Assistant,Chemical Engineering,Manufacture of basic chemicals,Higher Education,Yes,No,N,651,927,688,951,70.23,72.34
Chemical Lab Technologist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,,,,,,
Chemical Process Operator,Manufacturing                                                ,Manufacture of basic chemicals,Not Higher Education,No,No,N,,,,,,
Chemical Production Technician,Chemical Engineering,Manufacture of basic chemicals,Higher Education,Yes,No,N,651,927,688,951,70.23,72.34
Chemical Sprayer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,,,,,,
Child Caregiver,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,Y,,,,,,
Child Development Worker/Teacher,Education,Other education services,Not Higher Education,No,No,N,,,,,,
China Desk Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Chocolate Maker,Manufacturing,Manufacture of other food products,Not Higher Education,No,No,N,,,,,,
Church Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,,,,,,
Circuit Design Engineer,Electronics Engineering,Manufacture of electronic components,Higher Education,Yes,No,Y,842,2524,999,2172,33.36,45.99
Civics Curriculum Developer,Education,Educational support services,Higher Education,No,No,N,,,,,,
Civil Defense Program Staff,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,,,,,,
Civil Service Officer,Criminology,Public Order and Safety Activities,Higher Education,Yes,No,N,5743,17576,11121,22539,32.68,49.34
Classical Performer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,,,,,,
Clean-Up Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,,,,,,
Clergy Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,N,,,,,,
Clerk (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,,,,,,
Climate and Weather Monitoring Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Climate Science Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,,,,,,
Clinical Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,,,,,,
Clinical Chemistry Analyst,Chemistry,Manufacture of basic chemicals,Higher Education,Yes,No,N,594,1148,592,1088,51.74,54.41
Clinical Research Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,,,,,,
Clothing Line Technician,Manufacturing                                                ,"Manufacture of wearing apparel, except fur apparel",Higher Education,No,Yes,N,,,,,,
CNC EDM Wire Cut Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,N,,,,,,
CNC Lathe Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,N,,,,,,
CNC Machinist,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,N,,,,,,
CNC Milling Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,N,,,,,,
Coastal Resource Assistant,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,Yes,N,,,,,,
Coconut Farmer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,,,,,,
Cocoon Farmer,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,,,,,,
Coffee Farmer Nursery Operator,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,,,,,,
Cold Storage Technician                     ,Manufacturing                                                ,Installation of industrial machinery and equipment,Higher Education,No,No,N,,,,,,
Commercial Air-Conditioning Unit Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,,,,,,
Commercial Diver ,Transportation and Storage,"Sea and coastal water transport, Inland water transport",Not Higher Education,No,No,N,,,,,,
Commercial Refrigeration Equipment Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,,,,,,
Commis Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,N,,,,,,
Commis Helper,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,N,,,,,,
Communications and Advocacy Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,,,,,,
Communications Consultant,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,,,,,,
Communications Designer,"Professional, Scientific and Technical Activities",Specialized design activities,Higher Education,No,No,N,,,,,,
Communications Specialist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,,,,,,
Community Birth Attendant,Midwifery,Medical and dental practice activities,Higher Education,Yes,No,Y,2800,4119,3997,5398,67.98,74.05
Community Development Assistant,Social Work,"Other social work activities without accommodation, n.e.c.",Higher Education,Yes,No,Y,3878,6833,4587,7113,56.75,64.49
Community Governance Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,Yes,N,,,,,,
Community Health Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,,,,,,
Community Infectious Disease Management Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,,,,,,
Community Media Coordinator,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,Y,,,,,,
Community Ministry Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,,,,,,
Community Mobilization Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,,,,,,
Community Nutrition Services Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,,,,,,
Community Outreach Aide,Social Work,"Other social work activities without accommodation, n.e.c.",Higher Education,Yes,No,Y,3878,6833,4587,7113,56.75,64.49
Community Participation Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,,,,,,
Community Pharmacist,Pharmacy,Other human health activities,Higher Education,Yes,No,Y,1420,2275,2905,3778,62.42,76.89
Community Relations Associate,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,,,,,,
Community Relations Officer,Construction,Construction of buildings,Higher Education,No,No,Y,,,,,,
Community-Based Health Care Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,,,,,,
Company Driver (Hotel),Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Compliance and Regulatory Officer,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,N,,,,,,
Compliance Officer,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,,,,,,
Computer Assembler,Manufacturing                                                ,Manufacture of computers and peripheral equipment and accessories,Not Higher Education,No,No,Y,,,,,,
Computer Maintenance Technologist (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,,,,,,
Computer Security Support Staff,Information and Communication,Other information service activities,Not Higher Education,No,No,Y,,,,,,
Computer Technician,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,Yes,Y,,,,,,
Computer Transcriptionist,Information and Communication,Other information service activities,Higher Education,No,No,Y,,,,,,
Concept Art Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,,,,,,
Concierge Assistant,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,N,,,,,,
Concrete Pump Operator,Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Conductor,Transportation and Storage,Other land transport,Not Higher Education,No,No,N,,,,,,
Confectioner,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,N,,,,,,
Conservation Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,,,,,,
Conservation Scientist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,N,,,,,,
