Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,passing_rate_2023_agg,passing_rate_2024_agg
Material Inventory Assistants / Warehouse,Construction,Construction of buildings,Not Higher Education,No,No,Y,,,,,,
Materials Engineer,Metallurgical Engineering,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,39,64,41,67,60.94,61.19
Materials Laboratory Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,,,,,,
Materials Testing Technician,"Professional, Scientific and Technical Activities",Technical Testing and Analysis,Higher Education,No,Yes,N,,,,,,
Mathematics Instructor,Education,Higher education,Higher Education,No,No,N,,,,,,
Mathematics Teacher,Professional Teachers,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Meat Processor,Manufacturing                                                ,Processing and preserving of meat,Not Higher Education,No,No,N,,,,,,
Mechanical Designer,Manufacturing                                                ,Manufacture of special purpose machinery,Higher Education,No,No,N,,,,,,
Mechanical Draftsman,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes,N,,,,,,
Mechatronics and Automation Technician,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,Y,,,,,,
Mechatronics Engineer,Mechanical Engineering,Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,Y,2133,4237,1144,3485,50.34,32.83
Media Arts Teaching Assistant,Professional Teachers,Other education services,Higher Education,Yes,No,Y,77777,146562,68900,129928,53.07,53.03
Media Planning Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,Y,,,,,,
Media Production Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,Y,,,,,,
Media Relations Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,Y,,,,,,
Medical Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,,,,,,
Medical Claims Associate,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,,,,,,
Medical Claims Representative,Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,,,,,,
Medical Coding Specialist,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,,,,,,
Medical First Responder,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,,,,,,
Medical Laboratory Aide,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,,,,,,
Medical Laboratory Technologist,Medical Technology,Hospital activities,Higher Education,Yes,No,Y,3892,5401,3872,5574,72.06,69.47
Medical Liaison,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,No,Y,,,,,,
Medical Provider and Membership Relations Officer,Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,,,,,,
Medical Records Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,,,,,,
Medical Secretary,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,,,,,,
Medical Transcriptionist,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,,,,,,
Mental Health Program Officer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,,,,,,
Messman,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,N,,,,,,
Metadata Specialist,Information and Communication,Other information service activities,Higher Education,No,No,Y,,,,,,
Metallurgical Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Microbiology Lab Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,,,,,,
Microfinance Loan Officer,Financial and Insurance Activities,Monetary intermediation,Not Higher Education,No,No,Y,,,,,,
Milk Processing Technician                  ,Manufacturing                                                ,Manufacture of dairy products,Higher Education,No,No,N,,,,,,
Millwright,Construction,Construction of buildings,Higher Education,No,No,Y,,,,,,
Mine Safety Engineer,Mining Engineering,Mining of Metal Ores,Higher Education,Yes,No,N,242,351,259,365,68.95,70.96
Ministry Program Assistant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,Yes,Y,,,,,,
MIS Technical Support (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,,,,,,
Mobile Air-Conditioning (MAC) Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,,,,,,
Mobile Phones And Handheld Gadgets Technician,Manufacturing                                                ,Manufacture of consumer electronics,Not Higher Education,No,No,Y,,,,,,
Mobile Robotics System Technician,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,Y,,,,,,
Mold Maker,Manufacturing                                                ,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,N,,,,,,
Motion Graphics Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,,,,,,
Motorcycle/Small Engine Mechanic,Manufacturing                                                ,Manufacture of motor vehicles,Not Higher Education,No,No,N,,,,,,
Motor-Grader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
Multilateral Affairs Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Multimedia Designer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,Y,,,,,,
Multimedia Journalist,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,Y,,,,,,
Municipal Fisherman,"Agriculture, Forestry, and Fishing",Fishing,Not Higher Education,No,No,N,,,,,,
Municipal Services Clerk,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,N,,,,,,
Museum Curator,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,,,,,,
Museum Guide,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,,,,,,
Museum Program Assistant,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,,,,,,
Museum Researcher,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,,,,,,
Museum Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,,,,,,
Museums / Zoos / Aquariums Personnel,"Arts, Entertainment and Recreation",Other amusement and recreation activities,Not Higher Education,No,No,N,,,,,,
Music Arranger Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,,,,,,
Music Production Assistant,Information and Communication,Sound recording and music publishing activities,Higher Education,No,Yes,N,,,,,,
Music Teacher (Choral Director),Professional Teachers,Other education services,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Nail Technician,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,,,,,,
Natural Resource Planner,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Natural Resources Technician,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Network Cabling Technician,Manufacturing                                                ,Manufacture of communication equipment,Not Higher Education,No,Yes,Y,,,,,,
Network Operations Technician,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,,,,,,
News Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,,,,,,
News Reporter,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,No,N,,,,,,
Newsroom Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,,,,,,
Nurse Anaesthetist,Nursing,Medical and dental practice activities,Higher Education,Yes,No,Y,25761,32203,29349,34534,80,84.99
Nursery Teacher,Professional Teachers,Pre-primary/pre-school education,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Nursing Attendant,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,,,,,,
Nutrition Program Assistant,Nutrition and Dietetics,Other human health activities,Higher Education,Yes,No,Y,895,1219,843,1209,73.42,69.73
Nutritional Product Developer,Food Technology,Manufacture of other food products,Higher Education,Yes,No,N,453,1133,510,995,39.98,51.26
Occupational Therapy Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,,,,,,
Off-Highway Dump Truck (Rigid) Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
Office Receptionist,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,,,,,,
Oil and Gas Field Technician,Mining and Quarrying,"Extraction of crude petroleum, Extraction of natural gas",Higher Education,No,Yes,N,,,,,,
Oil Palm Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,,,,,,
Online Store Executive Assistant,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,Yes,N,,,,,,
Operating Theatre Nurse,Nursing,Medical and dental practice activities,Higher Education,Yes,No,Y,25761,32203,29349,34534,80,84.99
Operations Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,,,,,,
Operations Support Analyst,"Professional, Scientific and Technical Activities",Management consultancy activities,Higher Education,No,No,N,,,,,,
Optician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,,,,,,
Orchestra Violinist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,,,,,,
Organic Vegetable Farmer,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No,N,,,,,,
Organizational Development Specialist (OD),Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,,,,,,
Orthopaedic Physical Therapist,Physical Therapy,Medical and dental practice activities,Higher Education,Yes,No,Y,1288,1884,1206,1700,68.37,70.94
Orthotic Technician,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,,,,,,
Orthotic/Prosthetic Technician,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,,,,,,
Packagers,"Agriculture, Forestry, and Fishing",Post-harvest crop activities or packaging food products,Not Higher Education,No,No,N,,,,,,
Painter,Construction,Building completion and finishing,Not Higher Education,No,No,N,,,,,,
Painting Restorer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Not Higher Education,No,No,N,,,,,,
Pantry Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Paper Mache Maker,Manufacturing                                                ,Manufacture of paper and paper products,Not Higher Education,No,No,N,,,,,,
Park and Garden Rangers,Administrative and Support Service Activities,Landscape care and maintenance service activities,Not Higher Education,No,No,Y,,,,,,
Park Sweeper,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,N,,,,,,
Parking Valet,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Passenger Bus Driver,Transportation and Storage,Transport via buses,Not Higher Education,No,No,N,,,,,,
Passenger Services Agent,Transportation and Storage,"Passenger air transport, Freight air transport",Higher Education,No,No,N,,,,,,
Pastoral Support Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,,,,,,
Pastry Baker,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,N,,,,,,
Pathology Lab Assistant,Medical Technology,Hospital activities,Higher Education,Yes,No,Y,3892,5401,3872,5574,72.06,69.47
Patient Care Assistant,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,,,,,,
Patient Service Associate,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,,,,,,
Paver Operator,Construction,Construction of roads and railways,Not Higher Education,No,No,Y,,,,,,
Payroll Accountant,Accountancy,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,2740,8734,3058,10136,31.37,30.17
Payroll Clerk,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,,,,,,
Performance and Rewards Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,,,,,,
Performance Assistant,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,Yes,N,,,,,,
Performance Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,,,,,,
Personal Care Aide,Human Health and Social Work Activities,"Other residential care activities, n.e.c.",Not Higher Education,No,No,Y,,,,,,
Pest Management Assistant,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,No,Yes,N,,,,,,
Pest-Control Technician,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,,,,,,
Pharmaceutical Laboratory Analyst,Pharmacy,Other human health activities,Higher Education,Yes,No,Y,1420,2275,2905,3778,62.42,76.89
Pharmaceutical Machine Operator,Manufacturing                                                ,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Not Higher Education,No,No,N,,,,,,
Pharmacy Assistant,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,,,,,,
Philosophy Academic Content Writer,Education,Other Education,Higher Education,No,No,N,,,,,,
Philosophy and Ethics Instructor,Education,Higher education,Higher Education,No,No,N,,,,,,
Photo Editing Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,N,,,,,,
Photographer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Not Higher Education,No,No,N,,,,,,
Physics Lab Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,,,,,,
Piano Accompanist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,,,,,,
Picture Restorer,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Not Higher Education,No,No,N,,,,,,
Pili Processor,Manufacturing                                                ,Processing and preserving of fruits and vegetables,Not Higher Education,No,No,N,,,,,,
Pipe Welder (SAW),Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Pipefitter,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,,,,,,
Planetarium Assistant,Education,Educational support services,Higher Education,No,Yes,N,,,,,,
Plant Maintenance Mechanic,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution, Manufacture of gas; distribution of gaseous fuels through mains",Not Higher Education,No,No,N,,,,,,
Plant Process Operator,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,,,,,,
Plant Propagator,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No,N,,,,,,
Plant Tissue Culture Laboratory Technician,"Agriculture, Forestry, and Fishing",Plant propagation,Not Higher Education,No,No,N,,,,,,
Plate Welder (FCAW),Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Plate Welder (GMAW),Construction,Other specialized construction activities,Not Higher Education,No,No,Y,,,,,,
Plumber,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,,,,,,
Police Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,,,,,,
Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,,,,,,
Policy Support Officer – Islamic Affairs,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,N,,,,,,
Political Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,,,,,,
Political Risk Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Pollution Control Officer (Healthcare),Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,,,,,,
Pollution Control Officer (Manufacturing),Manufacturing                                                ,Manufacture of basic chemicals,Higher Education,No,No,N,,,,,,
Pollution Control Technician,"Water Supply; Sewerage, Waste Management and Remediation     ",Sewerage                                                                    ,Higher Education,No,Yes,N,,,,,,
Pool Lifeguards,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Population Data Scientist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,Y,,,,,,
Port Operations Assistant,Transportation and Storage,"Sea and coastal water transport, Inland water transport",Higher Education,No,Yes,N,,,,,,
Post-Harvest Workers,"Agriculture, Forestry, and Fishing",Post-harvest crop activities,Not Higher Education,No,No,N,,,,,,
Postproduction Assistant,Information and Communication,"Motion picture, video and television programme activities",Not Higher Education,No,No,N,,,,,,
Poultry Farmer,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,,,,,,
Poultry Processing Specialist,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,,,,,,
Preschool Teacher,Professional Teachers,Pre-primary education,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Preschool Teaching Aide,Education,Pre-primary education,Higher Education,No,Yes,N,,,,,,
Press Worker,Manufacturing                                                ,Printing and service activities related to printing,Not Higher Education,No,No,N,,,,,,
Presser (Hand or Machine),Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,,,,,,
Process Chemistry Technician,Chemistry,Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,N,594,1148,592,1088,51.74,54.41
Process Design Engineer (Licensed),Mechanical Engineering,Manufacture of general purpose machinery,Higher Education,Yes,No,Y,2133,4237,1144,3485,50.34,32.83
Process Improvement Analyst,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,,,,,,
Process Inspector,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,N,,,,,,
Process Instrumentation Technician,Manufacturing                                                ,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Higher Education,No,Yes,Y,,,,,,
Processing Staff/Worker,"Agriculture, Forestry, and Fishing",Post-harvest crop activities,Not Higher Education,No,No,N,,,,,,
Procurement Associate,Accountancy,Real Estate Activities on a Fee or Contract Basis,Higher Education,Yes,No,N,2740,8734,3058,10136,31.37,30.17
Procurement Staff (Construction),Civil Engineering,Construction of buildings,Higher Education,Yes,No,Y,6180,18582,6835,18436,33.26,37.07
Product Development Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Product Development Technician              ,Food Technology,Manufacture of other food products,Higher Education,Yes,No,N,453,1133,510,995,39.98,51.26
Product Quality Inspector,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,,,,,,
Production Machine Operator,Manufacturing                                                ,Manufacture of general purpose machinery,Not Higher Education,No,No,N,,,,,,
Production Plant Assistant,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,,,,,,
Production Scheduling Analyst,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,,,,,,
Professional Driver,Transportation and Storage,Other land transport,Not Higher Education,No,No,N,,,,,,
Professional Photographer,"Arts, entertainment and recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,,,,,,
Program Development Officer,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Program Evaluation Specialist,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,No,N,,,,,,
Program Production Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,N,,,,,,
Program Support Officer – Faith Initiatives,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,N,,,,,,
Program Support Staff,Public Administration and Defense; Compulsory Social Security,Administration of the State and the economic and social policy of the community,Higher Education,No,No,N,,,,,,
Programmable Logic Controller - Electrical (Manufacturing),Manufacturing                                                ,Manufacture of other electrical equipment,Higher Education,No,No,Y,,,,,,
Programmable Logic Controller - Programming (Manufacturing),Manufacturing                                                ,Manufacture of computers and peripheral equipment and accessories,Higher Education,No,No,Y,,,,,,
Programmable Logic Controller Specialist / Technician (Manufacturing),Manufacturing                                                ,Manufacture of other electrical equipment,Higher Education,No,Yes,Y,,,,,,
Programmer (Manufacturing),Manufacturing                                                ,Manufacture of computers and peripheral equipment and accessories,Higher Education,No,No,Y,,,,,,
Project Assistant (Cooperatives),Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,Yes,Y,,,,,,
Project Supervisors,Psychology,Construction of buildings,Higher Education,Yes,No,Y,339,468,373,448,72.44,83.26
Project Support Officer,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,,,,,,
Project Support Officer (Community),Public Administration and Defense; Compulsory Social Security,Other Executive Offices,Higher Education,No,No,N,,,,,,
Prosthetic Technician,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,,,,,,
Protocol Officer,Public Administration and Defense; Compulsory Social Security,Foreign affairs,Higher Education,No,No,N,,,,,,
Public Administration Aide,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,N,,,,,,
Public Attendant / Public Area Cleaner,Administrative and Support Service Activities,Cleaning activities,Not Higher Education,No,No,Y,,,,,,
Public Health Research Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Public Policy Officer,Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,No,N,,,,,,
Publishing Coordinator,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,Yes,N,,,,,,
Purchasing and Supply Logistics Clerks (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,No,N,,,,,,
Purchasing Officer (Tourism),Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,N,,,,,,
PV System Designer,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,,,,,,
PV Systems Installation Technician,Construction,"Electrical, plumbing and other construction installation activities",Not Higher Education,No,No,Y,,,,,,
Pyrotechnician,"Arts, entertainment and recreation",Other amusement and recreation activities,Not Higher Education,No,No,N,,,,,,
QA/QA Test Engineer Associate,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,,,,,,
Quality Auditor,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,,,,,,
Quality Control Chemist,Chemistry,Manufacture of basic chemicals,Higher Education,Yes,No,N,594,1148,592,1088,51.74,54.41
Quality Control Supervisors / Engineers (Construction),Civil Engineering,Construction of buildings,Higher Education,Yes,No,Y,6180,18582,6835,18436,33.26,37.07
Quality Controller,"Agriculture, Forestry, and Fishing",Post-harvest crop activities,Higher Education,No,No,N,,,,,,
Quality Improvement Analyst,Manufacturing                                                ,"Other manufacturing, n.e.c.",Higher Education,No,No,N,,,,,,
Quantity Surveyors (Construction),Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
R&D Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,N,,,,,,
R&D Food Specialist                         ,Food Technology,Manufacture of other food products,Higher Education,Yes,No,N,453,1133,510,995,39.98,51.26
Radiation Therapist,Radiologic Technology,Medical and dental practice activities,Higher Education,Yes,No,Y,385,1237,2450,4257,31.12,57.55
Radiation Therapy Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,,,,,,
Radio Producer Assistant,Information and Communication,Radio broadcasting,Higher Education,No,Yes,N,,,,,,
Radiological Health Assistant,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,,,,,,
Real Estate Assistant,Real Estate Activities,Real Estate Activities with Own or Leased Property,Higher Education,No,Yes,N,,,,,,
Real Estate Salesperson,Real Estate Activities,Real estate activities on a fee or contract basis,Not Higher Education,No,No,N,,,,,,
Records Officer (Criminal Justice),Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,No,No,N,,,,,,
Recreation Worker,Human Health and Social Work Activities,Other human health activities,Higher Education,No,No,Y,,,,,,
Recreational Activities Attendant,"Arts, Entertainment and Recreation",Sports activities,Higher Education,No,Yes,N,,,,,,
Recruitment Associate,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,Yes,Y,,,,,,
Registered Forester,Forestry,Silviculture and other forestry activities,Higher Education,Yes,No,N,1076,1947,928,1574,55.26,58.96
Registered Naval Architect,Naval Architecture and Marine Engineering,Building of ships and boats,Higher Education,Yes,No,N,28,87,43,94,32.18,45.74
Registered Nurse,Nursing,Hospital activities,Higher Education,Yes,No,Y,25761,32203,29349,34534,80,84.99
Registered Radiologic Technologist,Radiologic Technology,Medical and dental practice activities,Higher Education,Yes,No,Y,385,1237,2450,4257,31.12,57.55
Religious Education Teacher,Professional Teachers,Other education services,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Religious Outreach Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,,,,,,
Religious Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,,,,,,
Religious Studies Teacher,Professional Teachers,Other education services,Higher Education,Yes,No,N,77777,146562,68900,129928,53.07,53.03
Research and Development Officer (Agriculture),Agricultural Engineering,Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,615,1841,1479,2625,33.41,56.34
Research Assistant (Physical Sciences),"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,,,,,,
Research Associate – Public Affairs,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,,,,,,
Research Clerk (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,,,,,,
Reservations Clerk,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,N,,,,,,
Resort Marketing and Events Officer,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,No,N,,,,,,
Respiratory Therapy Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,,,,,,
Respite Services Home Care Coordinator,Human Health and Social Work Activities,Other human health activities,Higher Education,No,Yes,Y,,,,,,
Restaurant Crew,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Not Higher Education,No,No,N,,,,,,
Rewards Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,,,,,,
RF Systems Engineer,Electronics Engineering,Manufacture of communication equipment,Higher Education,Yes,No,Y,842,2524,999,2172,33.36,45.99
Rice Farmer,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Not Higher Education,No,No,N,,,,,,
Rice Land Preparation Machinery Operator (Hand Tractor),"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,,,,,,
Rice Production Assistant,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,No,Yes,N,,,,,,
Ride Operator,"Arts, entertainment and recreation",Other amusement and recreation activities,Not Higher Education,No,No,N,,,,,,
Rigger,Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
Rigid On-Highway Dump Truck Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,N,,,,,,
Risk Analyst,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Higher Education,No,No,Y,,,,,,
Risk Management Assistant,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,Yes,Y,,,,,,
