Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,SOC,AIOE,Complementarity,C-AIOE,Classification
Junior Financial Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,13-2061,1.4984326197157478,0.5613888888888888,1.1791832254596428,Displaced
Junior Financial Market Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,No,No,Y,Financial Services,,,,,13-2061,1.4984326197157478,0.5613888888888888,1.1791832254596428,Displaced
Junior Geologist,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,Yes,No,N,N,165.0,351.0,236.0,349.0,19-2043,0.6232162857528429,0.6447222222222222,0.4385019032810976,Augmented
Junior Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,27-1024,0.733024170282144,0.563888888888889,0.5750167380213262,Displaced
Junior Information Systems Analyst,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,Digital Technology,,,,,15-1211,1.1239022980263975,0.5956944444444444,0.8458925768062567,Displaced
Junior IoT Specialist,Information and Communication,Other information service activities,Not Higher Education,No,No,Y,Digital Technology,,,,,15-1152 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Junior Landscape Planner,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,64.0,112.0,91.0,142.0,19-3051,1.22004492837092,0.6447222222222222,0.8584371676565391,Augmented
Junior Physics Instructor,Education,Higher education,Higher Education,No,No,N,N,,,,,19-4099,0.0882226573666494,0.5626388888888889,0.0693160517671021,Displaced
Junior Power Systems Engineer,"Electricity, Gas, Steam and Air Conditioning Supply","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Higher Education,Yes,No,N,N,1218.0,3945.0,1655.0,3058.0,17-2141 ,1.167377784026609,0.6280555555555556,0.8408362761058326,Augmented
Junior Prepress Technician,Manufacturing,Printing and service activities related to printing,Not Higher Education,No,No,N,N,,,,,51-5112,-0.7848217233408605,0.5352777777777779,-0.6381036622829719,Isolated
Junior Project Coordinator,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,21-1093,0.7806366196871929,0.6691666666666666,0.5301823708708853,Augmented
Junior Quantitative Analyst,Financial and Insurance Activities,Fund management activities,Higher Education,No,No,Y,Financial Services,,,,,19-3011,1.3739893283132485,0.5929166666666666,1.0379344384299665,Displaced
Junior Risk Analyst,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,Financial Services,,,,,13-2061,1.4984326197157478,0.5613888888888888,1.1791832254596428,Displaced
Junior Software Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,15-1133,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Junior Software Engineer,Information and Communication,"Computer Programming, Consultancy and Related Activities",Higher Education,No,No,Y,Digital Technology,,,,,15-1133,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Junior Statistician,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Higher Education,No,No,Y,Financial Services,,,,,19-1099,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Junior Systems Administrator,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,15-1244,0.7714307163971404,0.5388888888888889,0.6244303076614632,Displaced
Junior Trade and Culture Analyst,Public Administration and Defense; Compulsory Social Security,Public Administration and Defense; Compulsory Social Security,Higher Education,No,No,N,N,,,,,13-1111,1.369842507381068,0.6147222222222223,1.0049316838870557,Augmented
Kiln Operator,Manufacturing,"Manufacture of non-metallic mineral products, n.e.c.",Higher Education,No,Yes,N,N,,,,,51-9191,-1.3185293182389948,0.5666666666666667,-1.0306504170901476,Isolated
Kindergarten Teacher,Education,Pre-primary/pre-school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-2012,0.3484516434659395,0.6813888888888889,0.2323978877671446,Augmented
Kitchen Staff,Accommodation and Food Service Activities,Event catering and other food service activities,Higher Education,No,No,Tourism,Tourism,,,,,35-9011 ,-1.826941747515469,0.495,-1.5589902912132003,Isolated
Knowledge Management Officer,Information and Communication,Other information service activities,Higher Education,Yes,No,N,N,555.0,886.0,376.0,771.0,25-9011,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Labor Relations Specialist,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services,,,,,21-1012 ,1.390653349799162,0.6652777777777777,0.9498934964322612,Augmented
Laboratory And Metrology Calibration Technician,Manufacturing,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,53-6041,0.3835605034568007,0.5769444444444444,0.2958743105832043,Displaced
Laboratory Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,29-2012,-0.3935851657204582,0.5456944444444444,-0.3159067600970178,Isolated
"Laborers and Hand Freight, Stock, and Material Movers",Transportation and Storage,Freight air transport,Not Higher Education,No,No,Tourism,Tourism,,,,,53-7121,-1.394520359139548,0.6941666666666667,-0.912248734937121,Protected
Land-Based Transport Refrigeration Mechanic,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N,,,,,49-9021 ,-0.9106473891239084,0.686111111111111,-0.6030509376864995,Protected
Landscape Design Assistant (Licensed Architect),"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2924.0,4784.0,2094.0,3370.0,17-1011,1.0614157123926595,0.6747222222222223,0.7149814173756108,Augmented
Landscape Design Technician,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes,N,N,,,,,47-4011,0.3600520511318562,0.6393055555555555,0.2552869056983508,Augmented
Landscape Gardener,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,45-2091,-1.153152853548008,0.4963888888888889,-0.9824221671754836,Isolated
Language Arts Curriculum Developer,Education,Other Education,Higher Education,No,No,N,N,,,,,25-9031,1.333804583640498,0.6875,0.8814225290224291,Augmented
Language Policy Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,Yes,N,N,,,,,25-3099 ,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Language Teaching Assistant,Education,Other Education,Higher Education,No,Yes,N,N,,,,,25-3099 ,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Latex Receiver,Manufacturing,Manufacture of rubber products,Not Higher Education,No,No,N,N,,,,,51-9197,-1.7041882984785872,0.4869444444444444,-1.4679688648839164,Isolated
Laundry Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,51-6011,-1.062885932057287,0.4383333333333333,-0.9672261981721312,Isolated
Laundry Machine Operator,Other Service Activities,Laundry services,Not Higher Education,No,No,N,N,,,,,51-6011,-1.062885932057287,0.4383333333333333,-0.9672261981721312,Isolated
Layout Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Higher Education,No,No,N,N,,,,,27-1013,-0.5800703514608596,0.4575,-0.5167460047597158,Isolated
Learning and Development Officer,Administrative and Support Service Activities,Other human resources provision,Higher Education,No,No,Y,Financial Services,,,,,21-1012 ,1.390653349799162,0.6652777777777777,0.9498934964322612,Augmented
Leasing Assistant,Real Estate Activities,Real Estate Activities with Own or Leased Property,Higher Education,No,Yes,N,N,,,,,43-6011,1.0600457450196432,0.5005555555555555,0.8986832260555421,Displaced
Legal Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,33-9031,0.7106225288460828,0.5908333333333333,0.5382965656009078,Displaced
Legal Associate,Public Administration and Defense; Compulsory Social Security,Justice and Judicial Activities,Higher Education,Yes,No,N,N,5743.0,17576.0,11121.0,22539.0,33-9031,0.7106225288460828,0.5908333333333333,0.5382965656009078,Displaced
Legal Research Assistant,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,Yes,N,N,,,,,23-1011,1.3906421927347794,0.6894444444444444,0.916278689213027,Augmented
Legislative Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,25-1199,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Legislative Staff Officer,Public Administration and Defense; Compulsory Social Security,Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,21-1012 ,1.390653349799162,0.6652777777777777,0.9498934964322612,Augmented
"LGU Program Assistant, Local Government Support Staff",Public Administration and Defense; Compulsory Social Security,Public Administration and Other Executive Offices,Higher Education,No,Yes,N,N,,,,,15-1151 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Liaison Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,Tourism,Tourism,,,,,43-9061 ,0.9698125993622836,0.4805555555555555,0.8415818223354928,Displaced
Librarian,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,N,N,555.0,886.0,376.0,771.0,25-9011,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Librarian Assistant,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N,,,,,25-9011,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Library Clerk,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,Yes,N,N,,,,,43-4121,0.1888573925939125,0.5313888888888888,0.1542859976718602,Displaced
Library Technician,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,Yes,No,N,N,555.0,886.0,376.0,771.0,27-1012 ,-0.8672596469857901,0.4680555555555555,-0.7634293948049914,Isolated
Licensed Aeronautical Engineer,Manufacturing,Manufacture of air and spacecraft and related machinery,Higher Education,Yes,No,N,N,418.0,971.0,579.0,1070.0,17-2141 ,1.167377784026609,0.6280555555555556,0.8408362761058326,Augmented
Licensed Agricultural and Biosystems Engineer,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Higher Education,Yes,No,N,N,615.0,1841.0,1479.0,2625.0,17-2199,0.5129253723597855,0.6382638888888889,0.3642126341929727,Augmented
Licensed Agriculturist,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Higher Education,Yes,No,N,N,615.0,1841.0,1479.0,2625.0,19-4011,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Licensed Aquaculturist,"Agriculture, Forestry, and Fishing",Aquaculture,Higher Education,No,No,N,N,,,,,49-9052,-1.0922437980466209,0.6463888888888889,-0.7666944660177253,Protected
Licensed Architect,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2924.0,4784.0,2094.0,3370.0,17-1011,1.0614157123926595,0.6747222222222223,0.7149814173756108,Augmented
Licensed Chemist,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,Yes,No,N,N,594.0,1148.0,592.0,1088.0,17-2081,1.3942922371302795,0.6652777777777777,0.9523790586398216,Augmented
Licensed Criminologist,Public Administration and Defense; Compulsory Social Security,Public Order and Safety Activities,Higher Education,Yes,No,N,N,5743.0,17576.0,11121.0,22539.0,29-1229,0.2059317681316812,0.7743981481481482,0.118191487478169,Augmented
Licensed Dentist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,15.0,20.0,873.0,1287.0,29-1029,0.2380110444547259,0.6536211755233494,0.1653491662757506,Augmented
Licensed Nutritionist and Dietician,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,Y,Health,895.0,1219.0,843.0,1209.0,29-1031,1.3739495407622582,0.6622222222222222,0.942682046022994,Augmented
Licensed Occupational Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,323.0,554.0,353.0,536.0,29-9092 ,1.5056696701614034,0.6302777777777777,1.0811544714908967,Augmented
Licensed Optometrist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,153.0,226.0,297.0,327.0,29-1041,0.5783359562603659,0.7183333333333333,0.3643516524440306,Augmented
Licensed Pharmacist,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,Y,Health,1420.0,2275.0,2905.0,3778.0,29-1051,0.6009057203410911,0.7186111111111111,0.3784036855592371,Augmented
Licensed Physical Therapist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,1288.0,1884.0,1206.0,1700.0,29-1128,-0.0373440278329034,0.6725,-0.0252383388104038,Protected
Licensed Psychometrician,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,Y,Health,339.0,468.0,373.0,448.0,19-3039,1.1962758695210862,0.6579166666666666,0.8259287982485167,Augmented
Licensed Respiratory Therapist,Human Health and Social Work Activities,Hospital activities,Higher Education,Yes,No,Y,Health,955.0,1345.0,1077.0,1383.0,29-9092 ,1.5056696701614034,0.6302777777777777,1.0811544714908967,Augmented
Life Science Research Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,31-9092,0.131317826544596,0.5872222222222223,0.0999474568700536,Displaced
Lifeguard,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,43-5031,0.8618669629198157,0.543611111111111,0.6935634976607518,Displaced
Lighting Technician,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,Yes,N,N,,,,,39-3099 ,-0.5276871682377668,0.6405864197530864,-0.37346896465618,Protected
Line Technician,Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,N,,,,,49-9052,-1.0922437980466209,0.6463888888888889,-0.7666944660177253,Protected
Linen Attendant,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,37-1011 ,-0.5409268890934459,0.6211111111111112,-0.3933740543462892,Protected
Linguistics Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,25-3099 ,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Linguistics Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,25-3099 ,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Literary Reviewer,Information and Communication,"Publishing of books, periodicals and other publishing activities",Higher Education,No,No,N,N,,,,,27-3043,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Livelihood Education Teacher,Education,Secondary/high school education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-2031,1.1884950168906403,0.7011111111111111,0.7692203859319978,Augmented
Livestock Agriculture Technician,"Agriculture, Forestry, and Fishing",Animal production,Higher Education,Yes,No,N,N,3423.0,10014.0,3628.0,7144.0,19-4012,-0.4095517524310084,0.6209722222222223,-0.297892017705721,Protected
Livestock Health Technician,Manufacturing,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Not Higher Education,No,No,N,N,,,,,31-9096,-0.8265822627679962,0.5972222222222222,-0.6208551218124061,Protected
Livestock Raiser,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,45-2093,-1.1166346396376288,0.5847222222222223,-0.8526746178788449,Isolated
Loan Processing Assistant,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,Yes,Y,Financial Services,,,,,43-3099 ,1.0117367283079466,0.5203728070175438,0.8376780740628624,Displaced
Local Government Contact Tracer,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Not Higher Education,No,No,Y,Health,,,,,29-2071 ,0.2380110444547259,0.6536211755233494,0.1653491662757506,Augmented
Local Heritage Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,25-4012,0.7188278381031682,0.6888888888888888,0.4740270243491449,Augmented
Logic Teaching Aide,Education,Other Education,Higher Education,No,Yes,N,N,,,,,39-9011,-0.5276871682377668,0.6126388888888888,-0.388216518077146,Protected
Logistics & Support Staff (Construction),Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,43-5111,-0.1990509675516624,0.5297222222222222,-0.1629453337152081,Isolated
Logistics Assistant,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,43-5111,-0.1990509675516624,0.5297222222222222,-0.1629453337152081,Isolated
Logistics Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,43-5111,-0.1990509675516624,0.5297222222222222,-0.1629453337152081,Isolated
Logistics Support Clerk,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,43-5032,1.1679053146236258,0.6255555555555555,0.8441360079585207,Augmented
Lumber Quality Analyst,Manufacturing,Sawmilling and planing of wood,Higher Education,No,No,N,N,,,,,53-6041,0.3835605034568007,0.5769444444444444,0.2958743105832043,Displaced
M&E Program Assistant,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,15-1151 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Machine Design Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2133.0,4237.0,1144.0,3485.0,17-2112,1.3022721729014886,0.6582638888888889,0.8986582348695898,Augmented
Machine Learning Engineer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,15-1133,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Machine Operator,Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,N,,,,,15-1299,1.2355878663736692,0.5574537037037037,0.9772012741324718,Displaced
Machine Operator (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,Tourism,Tourism,,,,,53-7011,-0.7654642333588086,0.5313888888888889,-0.6253417528634045,Isolated
Machinist,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,N,N,,,,,51-4199,-0.8341351787751918,0.5330229377104376,-0.6800790826101766,Isolated
Magician,"Arts, Entertainment and Recreation",Other amusement and recreation activities,Not Higher Education,No,No,N,N,,,,,27-2099,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Mail and Document Clerk,Transportation and Storage,"Postal activities, Courier activities",Higher Education,No,Yes,Tourism,Tourism,,,,,43-9051,-0.828177528731795,0.5691666666666667,-0.6452883244701902,Isolated
Maintenance Fitter,Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N,,,,,49-9081,-1.049182638556866,0.7641666666666665,-0.6128975246903028,Protected
Maintenance Laborer,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,49-9071,-1.0016298223561515,0.6969444444444443,-0.652450537062549,Protected
Maintenance Line Worker,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N,,,,,49-9051,-1.2416423994528298,0.7380555555555556,-0.7577467643327409,Protected
Maintenance Technician,Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,Yes,N,N,,,,,17-3029,-0.0372319794758209,0.5897222222222221,-0.0282445933190185,Isolated
Maintenance Technician (Construction),Construction,Building completion and finishing,Not Higher Education,No,No,Tourism,Tourism,,,,,47-2231,-0.9863345860553324,0.7455555555555556,-0.5945405699277976,Protected
Management Accountant,Financial and Insurance Activities,"Accounting, bookkeeping and auditing activities; tax consultancy",Higher Education,Yes,No,Y,Financial Services,2740.0,8734.0,3058.0,10136.0,13-2082,1.3620743346972182,0.4541666666666666,1.2179214676084291,Displaced
Management Information Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology,,,,,15-1299,1.2355878663736692,0.5574537037037037,0.9772012741324718,Displaced
Mango Grower,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,45-2091,-1.153152853548008,0.4963888888888889,-0.9824221671754836,Isolated
Mangosteen Grower,"Agriculture, Forestry, and Fishing",Growing of non-perennial crops,Not Higher Education,No,No,N,N,,,,,45-2091,-1.153152853548008,0.4963888888888889,-0.9824221671754836,Isolated
Manufacturing Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2133.0,4237.0,1144.0,3485.0,17-2112,1.3022721729014886,0.6582638888888889,0.8986582348695898,Augmented
Manufacturing Equipment Technician,Manufacturing,Installation of industrial machinery and equipment,Higher Education,No,Yes,N,N,,,,,17-3029,-0.0372319794758209,0.5897222222222221,-0.0282445933190185,Isolated
Marine Biology Research Assistant,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,19-1099,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Marine Biology Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,17-3029,-0.0372319794758209,0.5897222222222221,-0.0282445933190185,Isolated
Marine Conservation Aide,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,19-1099,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Marine Data Analyst,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,No,Y,Digital Technology,,,,,17-3029,-0.0372319794758209,0.5897222222222221,-0.0282445933190185,Isolated
Marine Navigation and Port Operations Officer,Transportation and Storage,"Sea and coastal water transport, Inland water transport",Higher Education,No,No,Tourism,Tourism,,,,,53-5021,-0.7138985758488017,0.7611111111111111,-0.419217108151213,Protected
Market & Social Researcher,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,27-3043 ,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Marketing Analyst (Transportation and Storage),Transportation and Storage,Support activities for transportation,Higher Education,No,No,Tourism,Tourism,,,,,27-3043 ,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Marketing Coordinator,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No,N,N,,,,,27-3043 ,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Marketing Professional (Manufacturing),Manufacturing,"Other manufacturing, n.e.c.",Higher Education,No,No,N,N,,,,,27-3043 ,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Marriage Counselor,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,N,N,,,,,21-1099,0.7806366196871929,0.6655492424242423,0.5330062647034659,Augmented
Mass Media Coordinator,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,Yes,Y,Digital Technology,,,,,27-3043 ,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
Massage Therapist,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,31-9011 ,-1.471164493027073,0.5808333333333333,-1.1291187483982787,Isolated
Master Tagger,"Agriculture, Forestry, and Fishing",Support activities to agriculture and post-harvest crop activities,Not Higher Education,No,No,N,N,,,,,19-4011,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
Mat Weaver,Manufacturing,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,N,N,,,,,51-6041,-0.8841484845166345,0.4858333333333333,-0.7625780678955973,Isolated
Material Handlers,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Higher Education,No,No,N,N,,,,,53-7063,-1.0459581106723304,0.4680555555555555,-0.920733681311282,Isolated
Material Inventory Assistants / Warehouse,Construction,Construction of buildings,Not Higher Education,No,No,Tourism,Tourism,,,,,43-5061 ,0.8309021883201236,0.5822222222222222,0.6365633987185837,Displaced
Materials Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,39.0,64.0,41.0,67.0,17-2199,0.5129253723597855,0.6382638888888889,0.3642126341929727,Augmented
Materials Laboratory Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,N,N,,,,,19-4099,0.0882226573666494,0.5626388888888889,0.0693160517671021,Displaced
Materials Testing Technician,"Professional, Scientific and Technical Activities",Technical Testing and Analysis,Higher Education,No,Yes,N,N,,,,,53-6041,0.3835605034568007,0.5769444444444444,0.2958743105832043,Displaced
Mathematics Instructor,Education,Higher education,Higher Education,No,No,N,N,,,,,25-1199,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
Mathematics Teacher,Education,"Primary/elementary education, Secondary/high school education",Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,25-2031,1.1884950168906403,0.7011111111111111,0.7692203859319978,Augmented
Meat Processor,Manufacturing,Processing and preserving of meat,Not Higher Education,No,No,N,N,,,,,51-3091 ,-0.7688751902862945,0.4733333333333334,-0.6727657915005076,Isolated
Mechanical Designer,Manufacturing,Manufacture of special purpose machinery,Higher Education,No,No,N,N,,,,,17-3029,-0.0372319794758209,0.5897222222222221,-0.0282445933190185,Isolated
Mechanical Draftsman,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,No,Yes,N,N,,,,,27-1013 ,-0.5800703514608596,0.4575,-0.5167460047597158,Isolated
Mechatronics and Automation Technician,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,Y,Digital Technology,,,,,49-3093,-1.5566147016651897,0.6050000000000001,-1.1570835949044576,Protected
Mechatronics Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,Y,Digital Technology,2133.0,4237.0,1144.0,3485.0,17-2141 ,1.167377784026609,0.6280555555555556,0.8408362761058326,Augmented
Media Arts Teaching Assistant,Education,Other education services,Higher Education,Yes,No,Y,Digital Technology,77777.0,146562.0,68900.0,129928.0,27-4099 ,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Media Planning Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,Y,Digital Technology,,,,,27-4099 ,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Media Production Assistant,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,Yes,Y,Digital Technology,,,,,27-4099 ,0.733024170282144,0.5569264403292181,0.580120381099911,Displaced
Media Relations Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,Y,Digital Technology,,,,,27-3031 ,1.2230614224333591,0.6141666666666666,0.8979309276364913,Augmented
Medical Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,No,Yes,Y,Health,,,,,31-9092,0.131317826544596,0.5872222222222223,0.0999474568700536,Displaced
Medical Claims Associate,Human Health and Social Work Activities,Hospital activities,Higher Education,No,Yes,Y,Health,,,,,43-9041 ,1.0618111569602473,0.4263888888888889,0.978930897208628,Displaced
Medical Claims Representative,Human Health and Social Work Activities,Hospital activities,Higher Education,No,No,Y,Health,,,,,43-9041 ,1.0618111569602473,0.4263888888888889,0.978930897208628,Displaced
Medical Coding Specialist,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,Y,Health,,,,,29-2071 ,0.2380110444547259,0.6536211755233494,0.1653491662757506,Augmented
