Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N),Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,SOC,AIOE,Complementarity,C-AIOE,Classification
Automotive Wiring Harness Assembler,Manufacturing,Manufacture of wiring and wiring devices,Not Higher Education,No,No,Y,Advanced Manufacturing,,,,,51-2031,-0.9651301558449767,0.5730555555555555,-0.748243962489814,Isolated
Back End Game Developer,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,No,Y,Digital Technology,,,,,15-1133,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Backend Developer,Information and Communication,"Computer programming, consultancy and related activities",Not Higher Education,No,No,Y,Digital Technology,,,,,15-1134 ,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
Backhoe Loader Operator,Construction,Demolition and site preparation,Not Higher Education,No,No,Tourism,Tourism,,,,,47-5022,-1.15238606969144,0.6227777777777778,-0.836120115009456,Protected
Backstrap Warper,Manufacturing,"Spinning, weaving and finishing of textiles",Not Higher Education,No,No,N,N,,,,,51-6063,-1.169710204319749,0.5066666666666667,-0.9845060886357888,Isolated
Baggage Handlers,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,53-7121,-1.394520359139548,0.6941666666666667,-0.912248734937121,Protected
Bamboo Farmer,"Agriculture, Forestry, and Fishing",Growing of perennial crops,Not Higher Education,No,No,N,N,,,,,45-2091,-1.153152853548008,0.4963888888888889,-0.9824221671754836,Isolated
Banking Associate,Financial and Insurance Activities,Monetary intermediation,Higher Education,No,Yes,Y,Financial Services,,,,,13-2082,1.3620743346972182,0.4541666666666666,1.2179214676084291,Displaced
Barangay Health Worker,Human Health and Social Work Activities,"Other social work activities without accommodation, n.e.c.",Higher Education,No,No,Y,Health,,,,,31-1014 ,-0.4413828025834359,0.5907306763285024,-0.3343927839934498,Isolated
Barangay Nutrition Action Officer,Human Health and Social Work Activities,Other human health activities,Higher Education,Yes,No,Y,Health,3878.0,6833.0,4587.0,7113.0,29-1031,1.3739495407622582,0.6622222222222222,0.942682046022994,Augmented
Barber,Other Service Activities,"Personal services for wellness, except sports activities",Not Higher Education,No,No,N,N,,,,,39-5012,-0.6928416342196729,0.6258333333333334,-0.5005780807237137,Protected
Barista,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,Tourism,Tourism,,,,,35-3011,-0.6267809371496645,0.4766666666666666,-0.5463440502154577,Isolated
Bartender,Accommodation and Food Service Activities,Beverage serving activities,Not Higher Education,No,No,Tourism,Tourism,,,,,35-3011,-0.6267809371496645,0.4766666666666666,-0.5463440502154577,Isolated
Basic Jewelry Fabricator,Manufacturing,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,N,N,,,,,51-2099,-0.8341351787751918,0.5330229377104376,-0.6800790826101766,Isolated
Basket Weaver,Manufacturing,"Manufacture of products of wood, cork, straw and plaiting materials",Not Higher Education,No,No,N,N,,,,,51-7099,-0.8341351787751918,0.5330229377104376,-0.6800790826101766,Isolated
Beach Lifeguards,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,Tourism,Tourism,,,,,43-5031,0.8618669629198157,0.543611111111111,0.6935634976607518,Displaced
Beach Recreation Associate,Accommodation and Food Service Activities,Short term accommodation activities,Higher Education,No,Yes,Tourism,Tourism,,,,,39-7012,0.4571220527837438,0.6594444444444444,0.3149063030288013,Augmented
Beadwork Accessories Makers,Manufacturing,"Manufacture of jewelry, bijouterie and related articles",Not Higher Education,No,No,N,N,,,,,27-1012 ,-0.8672596469857901,0.4680555555555555,-0.7634293948049914,Isolated
Beekeeper,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,45-2021,-1.0528327163871605,0.5588888888888889,-0.8311529388811973,Isolated
