,Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,Priority Sector (Y/N)_x,Priority Sector,passers_2023_agg,examinees_2023_agg,passers_2024_agg,examinees_2024_agg,AIOE,Complementarity,C-AIOE,Classification
265,Cultural Affairs Officer,Public Administration and Defense; Compulsory Social Security,Other Personal Service Activities,Higher Education,No,No,N,N,,,,,1.2230614224333591,0.6141666666666666,0.8979309276364913,Augmented
266,Cultural Dancer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,-1.6025485585216013,0.6763888888888888,-1.0768236008510428,Protected
267,Cultural Heritage Researcher,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,0.7188278381031682,0.6888888888888888,0.4740270243491449,Augmented
268,Culture & Communications Analyst,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,N,N,,,,,1.2230614224333591,0.6141666666666666,0.8979309276364913,Augmented
269,Curriculum Designer,Education,Educational support services,Not Higher Education,No,No,N,N,,,,,1.333804583640498,0.6875,0.8814225290224291,Augmented
270,Customer Interaction Specialist,Information and Communication,Other information service activities,Higher Education,No,No,N,N,,,,,1.0117367283079466,0.4713888888888888,0.8872369031300521,Displaced
271,Customer Service Representative,Administrative and Support Service Activities,"Business support service activities, n.e.c.",Not Higher Education,No,No,Y,Financial Services,,,,,1.0117367283079466,0.4713888888888888,0.8872369031300521,Displaced
272,Customs Officer,Public Administration and Defense; Compulsory Social Security,Public administration and defense; compulsory social security,Higher Education,Yes,No,N,N,1579.0,2767.0,1265.0,2871.0,-0.7219361463874624,0.6970833333333334,-0.4701609153348349,Protected
273,Cyber Threat Analyst,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology,,,,,1.2355878663736692,0.5574537037037037,0.9772012741324718,Displaced
274,Cybersecurity Help Desk,Information and Communication,Other information service activities,Not Higher Education,No,No,Y,Digital Technology,,,,,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
275,Dairy Farm Milker,"Agriculture, Forestry, and Fishing",Animal production,Not Higher Education,No,No,N,N,,,,,1.1962758695210862,0.6164937943262411,0.8754819808756202,Augmented
276,Dancer,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,-1.6025485585216013,0.6763888888888888,-1.0768236008510428,Protected
277,Data Analyst Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology,,,,,1.3407881770776937,0.5430555555555555,1.079706923707843,Displaced
278,Data Annotation Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology,,,,,1.4774993998129229,0.6063888888888888,1.0962224713611994,Augmented
279,Data Encoder (Healthcare Facility),Human Health and Social Work Activities,Hospital activities,Not Higher Education,No,No,Y,Health,,,,,0.2952404414086115,0.4877777777777777,0.2540708020788552,Displaced
280,Data Encoding Associate,Information and Communication,"Data processing, hosting and related activities; web portals",Not Higher Education,No,No,Y,Digital Technology,,,,,0.2952404414086115,0.4877777777777777,0.2540708020788552,Displaced
281,Data Management Assistant,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,Y,Financial Services,,,,,-0.5283907736061705,0.4333333333333333,-0.483477557849646,Isolated
282,Data Quality Specialist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,Y,Digital Technology,,,,,1.3407881770776937,0.5430555555555555,1.079706923707843,Displaced
283,Data Scientist,Information and Communication,"Data processing, hosting and related activities; web portals",Higher Education,No,No,Y,Digital Technology,,,,,1.2970972393926237,0.538611111111111,1.0502884591193051,Displaced
284,Database Assistant,Information and Communication,"Computer programming, consultancy and related activities",Higher Education,No,Yes,Y,Digital Technology,,,,,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
285,Delivery Driver,Transportation and Storage,Support activities for transportation,Not Higher Education,No,No,N,N,,,,,-0.968146275461266,0.5847222222222223,-0.7392872531230612,Isolated
286,Demi Chef,Accommodation and Food Service Activities,Restaurants and mobile food service activities,Higher Education,No,No,N,N,,,,,-0.1489164181781776,0.57,-0.1159066121486815,Isolated
287,Dental Hygienist,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health,,,,,-0.4413828025834359,0.6322222222222221,-0.3160791291833605,Protected
288,Dental Laboratory Assistant,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health,,,,,-0.4413828025834359,0.6322222222222221,-0.3160791291833605,Protected
289,Dental Laboratory Technician,Human Health and Social Work Activities,Medical and dental practice activities,Not Higher Education,No,No,Y,Health,,,,,-0.5063030629867125,0.6347222222222222,-0.3613034913369068,Protected
290,Dentist,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,15.0,20.0,873.0,1287.0,0.2380110444547259,0.6536211755233494,0.1653491662757506,Augmented
291,Dermopigmentation/Tattoo Artist,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,N,N,,,,,-0.5276871682377668,0.6405864197530864,-0.37346896465618,Protected
292,Design Engineer,"Professional, Scientific and Technical Activities",Architectural and engineering activities and related technical consultancy,Higher Education,Yes,No,N,N,2133.0,4237.0,1144.0,3485.0,1.3022721729014886,0.6582638888888889,0.8986582348695898,Augmented
293,Development Education Assistant,Education,Other Education,Higher Education,Yes,No,N,N,77777.0,146562.0,68900.0,129928.0,0.7806366196871929,0.6691666666666666,0.5301823708708853,Augmented
294,Development Planning Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,N,N,,,,,1.1966462559768865,0.6319444444444445,0.8572640817123306,Augmented
295,Development Researcher,Public Administration and Defense; Compulsory Social Security,Public Administration,Higher Education,No,No,N,N,,,,,0.8006554663832743,0.695328282828283,0.5228320632627548,Augmented
296,Dialysis Nurse,Human Health and Social Work Activities,Medical and dental practice activities,Higher Education,Yes,No,Y,Health,3878.0,6833.0,4587.0,7113.0,0.2700903207777707,0.7450000000000001,0.1629544935359216,Augmented
297,Diesel Power Plant Operator,"Electricity, Gas, Steam and Air Conditioning Supply","Electric power generation, transmission and distribution",Not Higher Education,No,No,N,N,,,,,-0.6745700212605167,0.6387037037037038,-0.4786948743463518,Protected
298,Digital Background Painting,Information and Communication,"Motion picture, video and television programme activities",Higher Education,No,No,Y,Digital Technology,,,,,0.6882188383865873,0.6152777777777777,0.5045026429172789,Augmented
299,Digital Content Strategist,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,Y,Digital Technology,,,,,1.2355878663736692,0.5585861823361823,0.975801997275254,Displaced
300,Digital Fabrication Machine Operator,Manufacturing,Manufacture of general purpose machinery,Not Higher Education,No,No,Y,Digital Technology,,,,,-0.8341351787751918,0.5330229377104376,-0.6800790826101766,Isolated
301,Digital Marketing Specialist,"Professional, Scientific and Technical Activities",Advertising,Not Higher Education,No,No,Y,Digital Technology,,,,,0.7743766257616718,0.5294444444444445,0.6341284146515023,Displaced
302,Digital Sales Support Staff,Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles,Retail Sale via Mail Order Houses or via Internet,Higher Education,No,No,Y,Digital Technology,,,,,1.2014782802095345,0.6194444444444445,0.8757441686860608,Augmented
303,Digital Transformation Associate,"Professional, Scientific and Technical Activities","Other professional, scientific and technical activities, n.e.c.",Higher Education,No,Yes,Y,Digital Technology,,,,,1.2355878663736692,0.5574537037037037,0.9772012741324718,Displaced
304,Dispatch Coordinator,Transportation and Storage,Support activities for transportation,Higher Education,No,Yes,N,N,,,,,-0.828177528731795,0.5691666666666667,-0.6452883244701902,Isolated
305,Dispatcher,Transportation and Storage,"Postal activities, Warehousing and storage",Higher Education,No,No,N,N,,,,,1.1679053146236258,0.6255555555555555,0.8441360079585207,Augmented
306,Diversity & Inclusion Specialist,"Professional, Scientific and Technical Activities",Research and experimental development on social sciences and humanities,Higher Education,No,No,N,N,,,,,1.4540568100648037,0.605625,1.0799401099752135,Augmented
307,Document Controller (Construction),Construction,Construction of buildings,Higher Education,No,No,Y,Tourism,,,,,-0.5283907736061705,0.4333333333333333,-0.483477557849646,Isolated
308,Documentation Specialist,"Arts, Entertainment and Recreation","Libraries, archives, museums and other cultural activities",Higher Education,No,No,N,N,,,,,-0.8672596469857901,0.4680555555555555,-0.7634293948049914,Isolated
309,Domestic Refrigeration And Air-Conditioning Technician,"Electricity, Gas, Steam and Air Conditioning Supply",Airconditioning and Refrigeration,Not Higher Education,No,No,N,N,,,,,-1.3913864731220469,0.6055555555555555,-1.033490952535654,Protected
310,Doorkeeper,Accommodation and Food Service Activities,Short term accommodation activities,Not Higher Education,No,No,N,N,,,,,-0.5182191975946915,0.5377777777777778,-0.4200454496059194,Isolated
311,Drafting Technician,Manufacturing,"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",Higher Education,No,Yes,Y,Advanced Manufacturing,,,,,-0.5800703514608596,0.4575,-0.5167460047597158,Isolated
