,,,,,,,,,,,,,,,,,,,,,,,,
"Importing 2.1
(Identifier for Regional Reductions)
[Region|Sector|Sub|Job|Program|Type]",Region,Sector,Sub-sector,Job Requirement,Programs,"Program
Type",,Year 2,,,,,,,,,Year 3,,,,,,,
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|EDUCATION|ESL TEACHER/TUTOR|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,EDUCATION,ESL TEACHER/TUTOR,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FERRO CEMENT TANK|BUILD FERRO CEMENT TANK|NONE|NEW AND EMERGING,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,FERRO CEMENT TANK,BUILD FERRO CEMENT TANK,NONE,NEW AND EMERGING,,0,0,8,8,8,3,0,0,,0,0,4,4,4,1,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FISHERY|BANGUS FRY PRODUCTION|AQUACULTURE (HATCHERY OPERATION) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,FISHERY,BANGUS FRY PRODUCTION,AQUACULTURE (HATCHERY OPERATION) NC II,WITH TR,,0,0,8,8,8,4,0,0,,0,0,4,4,4,2,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FISHERY|TILAPIA FRY PRODUCTION|AQUACULTURE (TILAPIA CULTURE) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,FISHERY,TILAPIA FRY PRODUCTION,AQUACULTURE (TILAPIA CULTURE) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,2,2,2,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|FOOD PROCESSING|ANIMAL BUTCHERING AND SLAUGHTERING|SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,FOOD PROCESSING,ANIMAL BUTCHERING AND SLAUGHTERING,SLAUGHTERING OPERATIONS (LARGE ANIMAL) NC II,WITH TR,,0,0,7,7,7,3,0,0,,0,0,3,3,3,1,0,0
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|HORTICULTURE|LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE|LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II|WITH TR",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,HORTICULTURE,"LANDSCAPE PLANTS (ORNAMENTAL AND CUT FLOWER) CULTURE, CARE AND MAINTENANCE",LANDSCAPE INSTALLATION AND MAINTENANCE (SOFTSCAPE) NC II,WITH TR,,0,0,8,8,8,4,0,0,,0,0,4,4,4,2,0,0
"REGION_VII|AGRICULTURE FORESTRY AND FISHERY|RICE, VEGETABLE PRODUCTION|WELL DRILLING OPERATIONS AND MAINTENANCE|WATER WELL DRILLING LEVEL II|WITH TR",REGION_VII,AGRICULTURE FORESTRY AND FISHERY,"RICE, VEGETABLE PRODUCTION",WELL DRILLING OPERATIONS AND MAINTENANCE,WATER WELL DRILLING LEVEL II,WITH TR,,0,0,0,0,0,0,0,0,,1,0,1,2,2,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|FISH HANDLER|FISHPORT/WHARF OPERATION NC I|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,FISH HANDLER,FISHPORT/WHARF OPERATION NC I,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|FISHERMAN|FISH CAPTURE NC II|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,FISHERMAN,FISH CAPTURE NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|AGRICULTURE FORESTRY AND FISHERY|SUPPORT AGRICULTURAL SERVICES|FISHING GEAR TECHNICIAN|FISHING GEAR REPAIR AND MAINTENANCE NC III|WITH TR,REGION_VII,AGRICULTURE FORESTRY AND FISHERY,SUPPORT AGRICULTURAL SERVICES,FISHING GEAR TECHNICIAN,FISHING GEAR REPAIR AND MAINTENANCE NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
