,,,,,,,,,,,,,,,,,,,,,,,,
"Importing 2.1
(Identifier for Regional Reductions)
[Region|Sector|Sub|Job|Program|Type]",Region,Sector,Sub-sector,Job Requirement,Programs,"Program
Type",,Year 2,,,,,,,,,Year 3,,,,,,,
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION|TILE SETTING|TILE SETTING NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION INDUSTRIAL CONSTRUCTION,TILE SETTING,TILE SETTING NC II,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,2,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|AIRLESS PAINTER|CONSTRUCTION PAINTING NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,AIRLESS PAINTER,CONSTRUCTION PAINTING NC II,WITH TR,,1,0,0,1,1,2,0,0,,1,0,0,1,1,2,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|STEELMAN|REINFORCING STEEL WORKS NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,STEELMAN,REINFORCING STEEL WORKS NC II,WITH TR,,1,0,0,1,1,1,0,0,,1,0,0,1,1,1,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|SURVEY ASSISTANT|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,SURVEY ASSISTANT,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|SYSTEM FORWORKS INSTALLER|SYSTEM FORMWORKS INSTALLATION NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,SYSTEM FORWORKS INSTALLER,SYSTEM FORMWORKS INSTALLATION NC II,WITH TR,,1,0,0,1,1,1,0,0,,1,0,0,1,1,1,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|FDAS TECHNICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,FDAS TECHNICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,,1,0,0,1,1,6,0,0,,1,0,0,1,1,6,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PIPEFITTER (FIRE PROTECTION SYSTEM)|PIPEFITTING (METALLIC) NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PIPEFITTER (FIRE PROTECTION SYSTEM),PIPEFITTING (METALLIC) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|PIPEFITTER (PUMP EQUIPMENT)|PIPEFITTING (METALLIC) NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,PIPEFITTER (PUMP EQUIPMENT),PIPEFITTING (METALLIC) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN|WELDER (SMAW)|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION HORIZONTAL CONTRUCTN,WELDER (SMAW),MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,,0,0,0,0,0,14,0,0,,12,0,0,12,12,18,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION RESIDENTIAL CONSTRUCTION HORIZONTAL CONSTRUCTION DIRECT WORKERS|CARPENTRY (FINISHING)|CARPENTRY NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION RESIDENTIAL CONSTRUCTION HORIZONTAL CONSTRUCTION DIRECT WORKERS,CARPENTRY (FINISHING),CARPENTRY NC II,WITH TR,,0,0,0,0,0,3,0,0,,0,0,0,0,1,3,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION RESIDENTIAL CONSTRUCTION HORIZONTAL CONSTRUCTION DIRECT WORKERS|CARPENTRY (ROUGH)|CARPENTRY NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION INDUSTRIAL CONSTRUCTION RESIDENTIAL CONSTRUCTION HORIZONTAL CONSTRUCTION DIRECT WORKERS,CARPENTRY (ROUGH),CARPENTRY NC II,WITH TR,,0,0,0,0,0,3,0,0,,0,0,0,0,1,3,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|FINISHING MASON|MASONRY NC III|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,FINISHING MASON,MASONRY NC III,WITH TR,,2,0,0,2,2,1,0,0,,2,0,0,2,2,1,0,0
REGION_VII|CONSTRUCTION|VERTICAL CONSTRUCTION RESIDENTIAL CONSTRUCTION|SPECIALIZED CARPENTER|CARPENTRY NC III|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL CONSTRUCTION RESIDENTIAL CONSTRUCTION,SPECIALIZED CARPENTER,CARPENTRY NC III,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,2,0,0
REGION_VII|CONSTRUCTION|VERTICAL HORIZONTAL|WATERPROOFER (VERTICAL WALLS)|CONSTRUCTION PAINTING NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL HORIZONTAL,WATERPROOFER (VERTICAL WALLS),CONSTRUCTION PAINTING NC II,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,2,0,0
REGION_VII|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS EQUIPMENT OPERATORS AND MAINTENANCE DIRECT WORKERS|TRANSIT MIXER|HEAVY EQUIPMENT OPERATION (TRANSIT MIXER) NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS EQUIPMENT OPERATORS AND MAINTENANCE DIRECT WORKERS,TRANSIT MIXER,HEAVY EQUIPMENT OPERATION (TRANSIT MIXER) NC II,WITH TR,,0,0,0,0,0,3,0,0,,0,0,0,0,0,2,0,0
REGION_VII|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS|SCAFFOLDER|SCAFFOLDING WORKS NC II (SUPPORTED TYPE SCAFFOLD)|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS,SCAFFOLDER,SCAFFOLDING WORKS NC II (SUPPORTED TYPE SCAFFOLD),WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS|WELDER (STRUCTURAL)|FLUX-CORED ARC WELDING (FCAW) NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS,WELDER (STRUCTURAL),FLUX-CORED ARC WELDING (FCAW) NC II,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
REGION_VII|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS|WELDER (STRUCTURAL)|GAS TUNGSTEN ARC WELDING (GTAW) NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS,WELDER (STRUCTURAL),GAS TUNGSTEN ARC WELDING (GTAW) NC II,WITH TR,,0,0,0,0,0,4,0,0,,0,0,0,0,0,3,0,0
REGION_VII|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS|WELDER (STRUCTURAL)|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR,REGION_VII,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL DIRECT WORKS,WELDER (STRUCTURAL),MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,,0,0,0,0,0,7,0,0,,6,0,0,6,6,9,0,0
"REGION_VII|CONSTRUCTION|VERTICAL INDUSTRIAL RESIDENTIAL PROJECT MANAGEMENT|SCAFFOLDER (INSPECTION, QUALITY ASSURANCE)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING",REGION_VII,CONSTRUCTION,VERTICAL INDUSTRIAL RESIDENTIAL PROJECT MANAGEMENT,"SCAFFOLDER (INSPECTION, QUALITY ASSURANCE)",NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CREATIVE SECTOR|CIRCUS LIVE EVENTS|PERFORMER (MAGICIAN)|PERFORMING ARTS (MAGICIAN) NC II|WITH TR,REGION_VII,CREATIVE SECTOR,CIRCUS LIVE EVENTS,PERFORMER (MAGICIAN),PERFORMING ARTS (MAGICIAN) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CREATIVE SECTOR|DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS|PERFORMER (BALLROOM DANCER)|PERFORMING ARTS (BALLROOM DANCING) NC II|WITH TR,REGION_VII,CREATIVE SECTOR,DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS,PERFORMER (BALLROOM DANCER),PERFORMING ARTS (BALLROOM DANCING) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CREATIVE SECTOR|DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS|PERFORMER (DANCER)|PERFORMING ARTS (DANCE) NC II|WITH TR,REGION_VII,CREATIVE SECTOR,DANCE LIVE MUSIC MUSICAL THEATER LIVE EVENTS,PERFORMER (DANCER),PERFORMING ARTS (DANCE) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CREATIVE SECTOR|DESIGN CREATIVE|EVENTS COORDINATOR|EVENTS MANAGEMENT SERVICES NC III|WITH TR,REGION_VII,CREATIVE SECTOR,DESIGN CREATIVE,EVENTS COORDINATOR,EVENTS MANAGEMENT SERVICES NC III,WITH TR,,5,0,0,5,5,2,0,0,,3,0,0,3,3,3,0,0
REGION_VII|CREATIVE SECTOR|GASTRONOMY|SERVER|FOOD AND BEVERAGE SERVICES NC II|WITH TR,REGION_VII,CREATIVE SECTOR,GASTRONOMY,SERVER,FOOD AND BEVERAGE SERVICES NC II,WITH TR,,0,0,0,0,0,4,0,0,,0,0,0,0,0,4,0,0
REGION_VII|CREATIVE SECTOR|GRAPHIC DESIGNING|ANIMATOR|2D ANIMATION NC III|WITH TR,REGION_VII,CREATIVE SECTOR,GRAPHIC DESIGNING,ANIMATOR,2D ANIMATION NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CREATIVE SECTOR|GRAPHIC DESIGNING|VISUAL GRAPHIC MULTIMEDIA ARTIST|VISUAL GRAPHIC DESIGN NC III|WITH TR,REGION_VII,CREATIVE SECTOR,GRAPHIC DESIGNING,VISUAL GRAPHIC MULTIMEDIA ARTIST,VISUAL GRAPHIC DESIGN NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CREATIVE SECTOR|LIVE MUSIC MUSICAL THEATER LIVE EVENTS OPERA|PERFORMER (SINGER)|PERFORMING ARTS (SONG) NC II|WITH TR,REGION_VII,CREATIVE SECTOR,LIVE MUSIC MUSICAL THEATER LIVE EVENTS OPERA,PERFORMER (SINGER),PERFORMING ARTS (SONG) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CREATIVE SECTOR|PHOTOGRAPHY|FILM AND PHOTOGRAPHY SKILLS/ PROFESSIONAL PHOTOGRAPHER|PHOTOGRAPHY NC II|WITH TR,REGION_VII,CREATIVE SECTOR,PHOTOGRAPHY,FILM AND PHOTOGRAPHY SKILLS/ PROFESSIONAL PHOTOGRAPHER,PHOTOGRAPHY NC II,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0
REGION_VII|CREATIVE SECTOR|TEXTILE DEVELOPMENT|HANDLOOM WEAVER|HANDLOOM WEAVING (UPRIGHT) NC II|WITH TR,REGION_VII,CREATIVE SECTOR,TEXTILE DEVELOPMENT,HANDLOOM WEAVER,HANDLOOM WEAVING (UPRIGHT) NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|CREATIVE SECTOR|VLOGS|VIDEO EDITOR|FILM AND VIDEO POSTPRODUCTION LEVEL III|WITH CS,REGION_VII,CREATIVE SECTOR,VLOGS,VIDEO EDITOR,FILM AND VIDEO POSTPRODUCTION LEVEL III,WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|ELECTRICAL & ELECTRONICS|ELECTRICAL AND ELECTRONICS|MACHINES OPERATOR, WELDER/FABRICATOR, MECHANICAL TECHNICIAN, CAD/CAM OPERATOR, CNC LATHE PROGRAMMER, CNC MILLING PROGRAMMER, ASSISTANT SUPERVISOR, ASSISTANT TRAINER, ENTREPRENEUR|DIPLOMA PROGRAM IN ELECTRICAL TECHNOLOGY|DIPLOMA PROGRAMS",REGION_VII,ELECTRICAL & ELECTRONICS,ELECTRICAL AND ELECTRONICS,"MACHINES OPERATOR, WELDER/FABRICATOR, MECHANICAL TECHNICIAN, CAD/CAM OPERATOR, CNC LATHE PROGRAMMER, CNC MILLING PROGRAMMER, ASSISTANT SUPERVISOR, ASSISTANT TRAINER, ENTREPRENEUR",DIPLOMA PROGRAM IN ELECTRICAL TECHNOLOGY,DIPLOMA PROGRAMS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|ELECTRICAL & ELECTRONICS|INDUSTRIAL AUTOMATION|MECHATRONICS AND AUTOMATION TECHNICIAN|MECHATRONICS SERVICING NC II|WITH TR,REGION_VII,ELECTRICAL & ELECTRONICS,INDUSTRIAL AUTOMATION,MECHATRONICS AND AUTOMATION TECHNICIAN,MECHATRONICS SERVICING NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|ENERGY|DESIGNATED ESTABLISHMENTS|TECHNICAL SUPPORT STAFF OF CERTIFIED ENERGY MANAGER|ENERGY EFFICIENCY AND CONSERVATION LEVEL III|WITH CS,REGION_VII,ENERGY,DESIGNATED ESTABLISHMENTS,TECHNICAL SUPPORT STAFF OF CERTIFIED ENERGY MANAGER,ENERGY EFFICIENCY AND CONSERVATION LEVEL III,WITH CS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|ENERGY|EV CHARGING EQUIPMENT, ASSEMBLY, INSTALLATION AND SALES|EVSE INSTALLATION TECHNICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR",REGION_VII,ENERGY,"EV CHARGING EQUIPMENT, ASSEMBLY, INSTALLATION AND SALES",EVSE INSTALLATION TECHNICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,,0,0,0,0,0,6,0,0,,1,0,0,1,1,6,0,0
REGION_VII|ENERGY|EV CHARGING STATION OPERATION|CHARGING FACILITY MANAGER/SAFETY OFFICER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,ENERGY,EV CHARGING STATION OPERATION,CHARGING FACILITY MANAGER/SAFETY OFFICER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|ENERGY|EV CHARGING STATION OPERATION|CHARGING SERVICE PERSONNEL|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,ENERGY,EV CHARGING STATION OPERATION,CHARGING SERVICE PERSONNEL,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|ENERGY|EV CHARGING STATION OPERATION|EVSE REPAIR AND MAINTENANCE|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR,REGION_VII,ENERGY,EV CHARGING STATION OPERATION,EVSE REPAIR AND MAINTENANCE,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,,0,0,0,0,0,6,0,0,,1,0,0,1,1,6,0,0
REGION_VII|ENERGY|EV CHARGING STATION OPERATION|TECHNICAL SUPPORT ASSOCIATE (FOE SELF-SERVICE CHARGING)|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,ENERGY,EV CHARGING STATION OPERATION,TECHNICAL SUPPORT ASSOCIATE (FOE SELF-SERVICE CHARGING),NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|ENERGY|EV FLEET OPERATIONS (E.G. PUBLIC/PRIVATE TRANSPORT COOPERATIVES)|EV DRIVER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,ENERGY,EV FLEET OPERATIONS (E.G. PUBLIC/PRIVATE TRANSPORT COOPERATIVES),EV DRIVER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|ENERGY|EV MANUFACTURING|EV ELECTRICAL ASSEMBLY|AUTOMOTIVE ELECTRICAL ASSEMBLY NC III|WITH TR,REGION_VII,ENERGY,EV MANUFACTURING,EV ELECTRICAL ASSEMBLY,AUTOMOTIVE ELECTRICAL ASSEMBLY NC III,WITH TR,,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0
REGION_VII|ENERGY|EV MANUFACTURING|EV MECHANICAL ASSEMBLY PERSONNEL|AUTOMOTIVE MECHANICAL ASSEMBLY NC II|WITH TR,REGION_VII,ENERGY,EV MANUFACTURING,EV MECHANICAL ASSEMBLY PERSONNEL,AUTOMOTIVE MECHANICAL ASSEMBLY NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|ENERGY|EV MANUFACTURING|EV TEST TECHNICIAN|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,ENERGY,EV MANUFACTURING,EV TEST TECHNICIAN,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|ENERGY|EV MANUFACTURING|EVSE ELECTRICAL SUPPLY SYSTEM DESIGNER|NO CORRESPONDING TVET PROGRAM|NEW AND EMERGING,REGION_VII,ENERGY,EV MANUFACTURING,EVSE ELECTRICAL SUPPLY SYSTEM DESIGNER,NO CORRESPONDING TVET PROGRAM,NEW AND EMERGING,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|ENERGY|EV SERVICING AND MAINTENANCE (FOR PRIVATE/PUBLIC VEHICLES)|EV ELECTRICAL SERVICE TECHNICIAN|AUTOMOTIVE SERVICING (ELECTRICAL REPAIR) NC II|WITH TR,REGION_VII,ENERGY,EV SERVICING AND MAINTENANCE (FOR PRIVATE/PUBLIC VEHICLES),EV ELECTRICAL SERVICE TECHNICIAN,AUTOMOTIVE SERVICING (ELECTRICAL REPAIR) NC II,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,2,0,0
REGION_VII|ENERGY|EV SERVICING AND MAINTENANCE (FOR PRIVATE/PUBLIC VEHICLES)|EV MECHANICAL SERVICE TECHNICIAN|AUTOMOTIVE SERVICING NC I|WITH TR,REGION_VII,ENERGY,EV SERVICING AND MAINTENANCE (FOR PRIVATE/PUBLIC VEHICLES),EV MECHANICAL SERVICE TECHNICIAN,AUTOMOTIVE SERVICING NC I,WITH TR,,0,0,0,0,0,5,0,0,,0,0,0,0,0,4,0,0
REGION_VII|ENERGY|SOLAR|SOLAR INSTALLER|PV SYSTEMS INSTALLATION NC II|WITH TR,REGION_VII,ENERGY,SOLAR,SOLAR INSTALLER,PV SYSTEMS INSTALLATION NC II,WITH TR,,0,0,0,0,0,2,0,0,,0,0,0,0,0,2,0,0
"REGION_VII|FURNITURE AND FIXTURES|DESIGN AND CREATIVE DOMAIN|MACHINES OPERATOR, FURNITURE MAKER/ASSEMBLER, FURNITURE FINISHER, CABINET MAKER/ASSEMBLER, CAD OPERATOR, CNC MILLING PROGRAMMER, ASSISTANT SUPERVISOR, ASSISTANT TRAINER, ENTREPRENEUR|DIPLOMA PROGRAM IN FURNITURE MAKING TECHNOLOGY|DIPLOMA PROGRAMS",REGION_VII,FURNITURE AND FIXTURES,DESIGN AND CREATIVE DOMAIN,"MACHINES OPERATOR, FURNITURE MAKER/ASSEMBLER, FURNITURE FINISHER, CABINET MAKER/ASSEMBLER, CAD OPERATOR, CNC MILLING PROGRAMMER, ASSISTANT SUPERVISOR, ASSISTANT TRAINER, ENTREPRENEUR",DIPLOMA PROGRAM IN FURNITURE MAKING TECHNOLOGY,DIPLOMA PROGRAMS,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
REGION_VII|GARMENTS|FASHION DESIGN|BEADS SEWER|FASHION DESIGN (APPAREL) NC III|WITH TR,REGION_VII,GARMENTS,FASHION DESIGN,BEADS SEWER,FASHION DESIGN (APPAREL) NC III,WITH TR,,5,0,0,5,5,3,0,0,,1,1,0,2,2,1,0,0
REGION_VII|GARMENTS|FASHION DESIGN|GOWN DESIGNERS|FASHION DESIGN (APPAREL) NC III|WITH TR,REGION_VII,GARMENTS,FASHION DESIGN,GOWN DESIGNERS,FASHION DESIGN (APPAREL) NC III,WITH TR,,5,0,0,5,5,3,0,0,,1,1,0,2,2,2,0,0
REGION_VII|GARMENTS|GARMENT PRODUCITON|PANTS SEWER|TAILORING NC II|WITH TR,REGION_VII,GARMENTS,GARMENT PRODUCITON,PANTS SEWER,TAILORING NC II,WITH TR,,6,0,0,6,6,1,0,0,,1,2,0,3,3,1,0,0
REGION_VII|GARMENTS|GARMENT PRODUCITON|POLO SEWER|DRESSMAKING NC II|WITH TR,REGION_VII,GARMENTS,GARMENT PRODUCITON,POLO SEWER,DRESSMAKING NC II,WITH TR,,7,1,0,8,8,1,0,0,,1,3,0,4,4,1,0,0
REGION_VII|GARMENTS|GARMENT PRODUCITON|T SHIRT SEWERS|DRESSMAKING NC II|WITH TR,REGION_VII,GARMENTS,GARMENT PRODUCITON,T SHIRT SEWERS,DRESSMAKING NC II,WITH TR,,7,1,0,8,8,2,0,0,,1,3,0,4,4,1,0,0
"REGION_VII|GARMENTS|GARMENT PRODUCTION, T-SHIRT, POLO, PANT SEWING|SEWER|TAILORING NC II|WITH TR",REGION_VII,GARMENTS,"GARMENT PRODUCTION, T-SHIRT, POLO, PANT SEWING",SEWER,TAILORING NC II,WITH TR,,7,1,0,8,8,2,0,0,,1,3,0,4,4,1,0,0
REGION_VII|GARMENTS|GARMENTS|FASHION DESIGNER (APPAREL)|FASHION DESIGN (APPAREL) NC III|WITH TR,REGION_VII,GARMENTS,GARMENTS,FASHION DESIGNER (APPAREL),FASHION DESIGN (APPAREL) NC III,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
"REGION_VII|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|AFTERSALES & SERVICES|REFRIGERATION & AIRCONDITIONING TECHNICIANS|RAC SERVICING (DOMRAC) NC II|WITH TR",REGION_VII,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION",AFTERSALES & SERVICES,REFRIGERATION & AIRCONDITIONING TECHNICIANS,RAC SERVICING (DOMRAC) NC II,WITH TR,,7,1,0,8,8,4,0,0,,1,3,0,4,4,3,0,0
"REGION_VII|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|INDUSTRIAL REFRIGERATION PLANT OPERATOR, INDUSTRIAL REFRIGERATION PLANT TECHNICIAN|REFRIGERATION & AIRCONDITIONING TECHNICIANS|INDUSTRIAL REFRIGERATION OPERATION & MAINTENANCE LEVEL III|WITH CS",REGION_VII,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION","INDUSTRIAL REFRIGERATION PLANT OPERATOR, INDUSTRIAL REFRIGERATION PLANT TECHNICIAN",REFRIGERATION & AIRCONDITIONING TECHNICIANS,INDUSTRIAL REFRIGERATION OPERATION & MAINTENANCE LEVEL III,WITH CS,,6,0,0,6,6,3,0,0,,1,2,0,3,3,1,0,0
"REGION_VII|HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION|REPAIR AND INSTALLATION|WELDER|GAS WELDING NC I|WITH TR",REGION_VII,"HEATING, VENTILATION, AIRCONDITIONING AND REFRIGERATION",REPAIR AND INSTALLATION,WELDER,GAS WELDING NC I,WITH TR,,7,0,0,7,7,4,0,0,,1,2,0,3,3,1,0,0
"REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|AMBULANCE CARE ASSISTANT
EMERGENCY MEDICAL TECHNICIAN
FIRST AID ATTENDANTS
MEDICAL FIRST RESPONDER|EMERGENCY MEDICAL SERVICES NC II|WITH TR",REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,"AMBULANCE CARE ASSISTANT
EMERGENCY MEDICAL TECHNICIAN
FIRST AID ATTENDANTS
MEDICAL FIRST RESPONDER",EMERGENCY MEDICAL SERVICES NC II,WITH TR,,2,0,0,2,2,2,0,0,,3,0,0,3,3,2,0,0
"REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|AMBULANCE CARE ASSISTANT
EMERGENCY MEDICAL TECHNICIAN
FIRST AID ATTENDANTS
MEDICAL FIRST RESPONDER|EMERGENCY MEDICAL SERVICES NC III|WITH TR",REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,"AMBULANCE CARE ASSISTANT
EMERGENCY MEDICAL TECHNICIAN
FIRST AID ATTENDANTS
MEDICAL FIRST RESPONDER",EMERGENCY MEDICAL SERVICES NC III,WITH TR,,2,0,0,2,2,1,0,0,,3,0,0,3,3,1,0,0
REGION_VII|HUMAN HEALTH / HEALTH CARE|HEALTH CARE FACILITIES|BIOMED TECHNICIANS|BIOMEDICAL EQUIPMENT SERVICING NC II|WITH TR,REGION_VII,HUMAN HEALTH / HEALTH CARE,HEALTH CARE FACILITIES,BIOMED TECHNICIANS,BIOMEDICAL EQUIPMENT SERVICING NC II,WITH TR,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
