Job Title,Job Sector,Job Subsector,Educational Pathway,HEI with PRC (Professional Regulation Commission) Exam,Some HEI,SOC,AIOE,Complementarity
Billing & Collection Staff (Construction),Construction,Construction of buildings,Higher Education,No,No,43-3011,1.180784811080226,0.44027777777777777
BIM Modeler,Construction,Other specialized construction activities,Not Higher Education,No,No,27-1013 ,-0.673807460441017,0.4575
Biology Instructor,Education,Higher education,Higher Education,No,No,25-1199,0.7243196041937822,0.695328282828283
Biology Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,29-2012,-0.4849720074006685,0.5475000000000001
Biomedical Technician,Human Health and Social Work Activities,Other human health activities,Not Higher Education,No,No,29-2012,-0.4849720074006685,0.5475000000000001
Biotech Lab Technician,"Professional, Scientific and Technical Activities",Research and experimental development on natural sciences and engineering,Higher Education,No,Yes,29-2012,-0.4849720074006685,0.5475000000000001
Blacksmith,Manufacturing,Manufacture of other fabricated metal products; metal working service activities,Not Higher Education,No,No,51-4199 ,-0.9310742592864004,0.5342866161616162
Boat Fitter,Manufacturing,Building of ships and boats,Not Higher Education,No,No,49-9081,-1.1488319558659998,0.7641666666666665
Boat Operator (Tourism),Transportation and Storage,Sea and coastal water transport,Not Higher Education,No,No,53-5022,-0.906909571310061,0.7050000000000001
Body Repair Personnel,Manufacturing,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Not Higher Education,No,No,49-3093,-1.6626591703110545,0.6050000000000001
Book Illustrator,"Arts, Entertainment and Recreation","Creative, arts and entertainment activities",Not Higher Education,No,No,27-1024,0.6558359528610636,0.563888888888889
Bookkeeper,Financial and Insurance Activities,"Activities auxiliary to financial service, except insurance and pension funding",Not Higher Education,No,No,43-3031,0.946928146277296,0.5122222222222222
Boom Truck Drivers,Construction,Construction of roads and railways,Not Higher Education,No,No,53-3032,-1.2009419361981832,0.6174999999999999
Bouncer,Accommodation and Food Service Activities,Other accommodation,Not Higher Education,No,No,33-9093 ,-0.6111767983055003,0.5377777777777778
Branch Associate,Administrative and Support Service Activities,Office administrative and support activities,Higher Education,No,Yes,43-6011,0.9869789708672666,0.5005555555555555
Brand Communications Officer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,43-6014,1.0064736472881557,0.49222222222222217
Brand Designer,"Professional, Scientific and Technical Activities",Advertising,Higher Education,No,No,27-1029,0.6558359528610636,0.5456893004115226
Broadcast Operations Assistant,Information and Communication,Programming and Broadcasting Activities,Higher Education,No,Yes,39-3099 ,-0.620764093503558,0.6422222222222221
