,Communication,Responsibility,Physical,Criticality,Routine,Skills
51-8092.00,0.535,0.76,0.68,0.7966666666666665,0.61,0.4
51-8093.00,0.485,0.71,0.765,0.7633333333333333,0.61,0.4
51-8099.01,0.58,0.685,0.655,0.8,0.565,0.4
51-9011.00,0.515,0.805,0.645,0.7266666666666666,0.62,0.4
51-9012.00,0.495,0.59,0.32,0.75,0.56,0.4
51-9021.00,0.605,0.72,0.545,0.6933333333333332,0.665,0.4
51-9022.00,0.48,0.395,0.5,0.54,0.62,0.4
51-9023.00,0.51,0.85,0.395,0.7166666666666666,0.62,0.4
51-9031.00,0.27,0.435,0.175,0.36,0.65,0.2
51-9032.00,0.49,0.71,0.375,0.6266666666666666,0.585,0.4
51-9041.00,0.5,0.62,0.345,0.63,0.485,0.4
51-9051.00,0.485,0.805,0.4,0.6733333333333333,0.605,0.4
51-9061.00,0.63,0.73,0.425,0.6133333333333333,0.73,0.4
51-9071.00,0.565,0.595,0.41,0.7166666666666666,0.865,0.6
51-9071.06,0.585,0.31,0.22,0.38666666666666666,0.6,0.6
51-9081.00,0.495,0.53,0.28,0.6033333333333333,0.81,0.4
51-9082.00,0.615,0.7,0.38,0.7033333333333333,0.81,0.6
51-9083.00,0.455,0.465,0.315,0.56,0.64,0.4
51-9111.00,0.5,0.76,0.385,0.68,0.63,0.4
51-9123.00,0.545,0.32,0.32,0.4433333333333333,0.715,0.2
51-9124.00,0.545,0.62,0.485,0.61,0.63,0.4
51-9141.00,0.44,0.645,0.335,0.6233333333333333,0.545,0.4
51-9151.00,0.58,0.57,0.445,0.5266666666666666,0.56,0.4
51-9161.00,0.49,0.39,0.285,0.6633333333333333,0.53,0.4
51-9162.00,0.535,0.54,0.28,0.6966666666666665,0.655,0.4
51-9191.00,0.6,0.73,0.38,0.73,0.56,0.4
51-9192.00,0.525,0.545,0.35,0.5433333333333333,0.62,0.4
51-9193.00,0.6,0.73,0.52,0.64,0.62,0.4
51-9194.00,0.515,0.47,0.27,0.6066666666666667,0.74,0.4
51-9195.00,0.435,0.61,0.395,0.48,0.53,0.4
51-9195.03,0.49,0.65,0.47,0.5833333333333333,0.7,0.4
51-9195.04,0.44,0.51,0.33,0.7333333333333333,0.675,0.4
51-9195.05,0.57,0.535,0.225,0.67,0.825,0.6
51-9196.00,0.675,0.725,0.32,0.6533333333333333,0.6,0.4
51-9197.00,0.47,0.565,0.415,0.5266666666666666,0.545,0.4
51-9198.00,0.49,0.535,0.41,0.61,0.595,0.4
53-1041.00,0.71,0.87,0.765,0.8166666666666665,0.74,0.4
53-1042.00,0.735,0.925,0.545,0.7766666666666666,0.705,0.4
53-1042.01,0.69,0.755,0.65,0.7533333333333333,0.81,0.4
53-1043.00,0.7,0.845,0.655,0.8033333333333332,0.775,0.6
53-2011.00,0.795,0.79,0.685,0.8166666666666665,0.505,0.8
53-2012.00,0.55,0.77,0.745,0.83,0.84,0.6
53-2021.00,0.51,0.52,0.425,0.8666666666666666,0.54,0.6
53-2022.00,0.695,0.765,0.755,0.9166666666666665,0.755,0.6
53-2031.00,0.96,0.895,0.68,0.88,0.7,0.4
53-3011.00,0.585,0.76,0.855,0.7833333333333333,0.735,0.4
53-3031.00,0.69,0.435,0.74,0.5966666666666667,0.735,0.4
53-3032.00,0.485,0.56,0.67,0.83,0.76,0.4
53-3033.00,0.445,0.555,0.645,0.62,0.55,0.4
53-3051.00,0.45,0.545,0.74,0.7533333333333333,0.705,0.4
53-3052.00,0.505,0.435,0.66,0.74,0.565,0.4
53-3053.00,0.425,0.565,0.86,0.76,0.745,0.4
53-4011.00,0.585,0.83,0.68,0.8166666666666665,0.765,0.4
53-4013.00,0.625,0.86,0.695,0.7466666666666666,0.68,0.4
53-4022.00,0.51,0.745,0.68,0.8266666666666665,0.72,0.4
53-4031.00,0.53,0.74,0.78,0.79,0.645,0.4
53-4041.00,0.485,0.635,0.69,0.69,0.555,0.4
53-5011.00,0.55,0.825,0.845,0.6633333333333333,0.77,0.4
53-5021.00,0.67,0.82,0.78,0.8766666666666666,0.82,0.6
53-5022.00,0.645,0.815,0.79,0.8,0.78,0.4
53-5031.00,0.525,0.79,0.77,0.8066666666666665,0.71,0.6
53-6011.00,0.44,0.5,0.455,0.7466666666666666,0.62,0.4
53-6021.00,0.565,0.51,0.69,0.5533333333333332,0.6,0.4
53-6031.00,0.63,0.645,0.73,0.8033333333333332,0.76,0.4
53-6041.00,0.505,0.52,0.615,0.5866666666666667,0.635,0.6
53-6051.00,0.51,0.63,0.695,0.71,0.795,0.8
53-6051.01,0.63,0.785,0.71,0.8966666666666666,0.73,0.6
53-6051.07,0.54,0.705,0.685,0.8,0.78,0.4
53-6061.00,0.38,0.47,0.735,0.49666666666666665,0.555,0.4
53-7011.00,0.525,0.635,0.54,0.6133333333333333,0.675,0.2
53-7021.00,0.56,0.805,0.59,0.7633333333333333,0.73,0.6
53-7031.00,0.565,0.54,0.565,0.68,0.555,0.4
53-7041.00,0.51,0.745,0.55,0.9033333333333333,0.745,0.4
53-7051.00,0.505,0.695,0.595,0.8133333333333332,0.755,0.4
53-7061.00,0.415,0.645,0.515,0.62,0.81,0.4
53-7062.00,0.56,0.505,0.57,0.69,0.74,0.4
53-7062.04,0.475,0.645,0.705,0.5533333333333332,0.69,0.4
53-7063.00,0.505,0.575,0.325,0.4733333333333333,0.53,0.4
53-7064.00,0.54,0.655,0.405,0.54,0.655,0.4
53-7065.00,0.645,0.425,0.405,0.54,0.73,0.4
53-7071.00,0.61,0.795,0.81,0.8033333333333332,0.695,0.4
53-7072.00,0.53,0.685,0.72,0.7366666666666666,0.745,0.4
53-7073.00,0.495,0.54,0.59,0.7966666666666665,0.825,0.4
53-7081.00,0.35,0.39,0.685,0.5866666666666667,0.67,0.4
53-7121.00,0.62,0.775,0.78,0.84,0.75,0.4
