,SOC,AIOE
10608,15-1221,1.1343033870926167
10712,15-1231,0.7679571809190826
10816,15-1232,0.4956662237223959
10920,15-1241,1.04857143708017
11128,15-1242,1.3407881770776935
11232,15-1243,1.2717066183694778
11440,15-1244,0.7714307163971404
11544,15-1251,1.2509297522917713
11648,15-1252,1.2277855648173748
11752,15-1253,1.200039438698538
11856,15-1254,1.0698500977846794
11960,15-1255,1.0453114234830094
12376,15-1299,1.2355878663736692
12688,15-2011,1.464872998206535
12792,15-2021,1.4621069804506373
12896,15-2031,1.4405732062486356
13000,15-2041,1.3626029771207722
13208,15-2051,1.4917648033704562
13416,15-2099,1.450795643912962
13520,17-1011,1.0614157123926597
13624,17-1012,0.977599906930202
13728,17-1021,0.798790811378604
13832,17-1022,-0.037429696162101976
14040,17-2011,1.3178058794329328
14144,17-2021,0.8332531206190305
14248,17-2031,1.0397329153551689
14352,17-2041,1.362684084864043
14560,17-2051,1.303068832130924
14768,17-2061,1.0996879431370497
14872,17-2071,1.0699352703170644
14976,17-2072,0.6853776260103156
15184,17-2081,1.3942922371302797
15392,17-2111,1.310944551858866
15600,17-2112,1.3022721729014886
15912,17-2121,0.30268343281241267
16016,17-2131,0.9416021205822757
16120,17-2141,1.167377784026609
16432,17-2151,1.325960296243675
16536,17-2161,1.30680726133697
16640,17-2171,1.317365322442853
17365,17-2199,0.5129253723597855
17576,17-3011,0.6249198150105001
17680,17-3012,0.8516892276589839
17784,17-3013,0.8227742410332799
17888,17-3021,0.37494670360150306
17992,17-3022,0.9135513688578188
18096,17-3023,0.23070357188439491
18200,17-3024,-0.29230614171760083
18408,17-3025,0.029561835446137354
18616,17-3026,0.23422306813300875
18720,17-3027,-0.05066531391042431
19032,17-3029,-0.03723197947582092
19136,17-3031,-0.16709768425741525
19240,19-1011,0.9263369527106597
19344,19-1012,0.6846442626306308
19448,19-1013,0.5719020746843271
19552,19-1021,0.9062185749805719
19656,19-1022,0.6810187644685419
19760,19-1023,0.3179625633145774
20176,19-1029,0.7741913477789923
20488,19-1031,0.13058063163837258
20592,19-1032,-0.09086876915866104
20696,19-1041,1.422304625566832
20800,19-1042,1.1389568240738839
20904,19-2011,1.3038987670684765
21008,19-2012,1.3394233838362615
21112,19-2021,1.4426143705783028
21216,19-2031,0.6285330663873302
21320,19-2032,1.2002810540187743
21424,19-2041,1.1214078377932841
21840,19-2042,0.8295489903001769
21944,19-2043,0.6232162857528429
22048,19-2099,1.1345220558384679
22152,19-3011,1.3739893283132483
22360,19-3022,1.4774993998129229
22464,19-3032,1.4308440872394554
22568,19-3033,1.4068672647159468
22672,19-3034,1.3555779752705395
22776,19-3039,1.1962758695210862
22984,19-3041,1.3920363728558312
23088,19-3051,1.22004492837092
23192,19-3091,1.08342919661502
23296,19-3092,1.4085293419369727
23400,19-3093,1.2544965881357957
23504,19-3094,1.3924155182294258
23608,19-3099,1.3409751077112815
23712,19-4012,-0.4095517524310084
23920,19-4013,0.45187811827890867
24024,19-4021,0.2857078870284792
24128,19-4031,0.05911957319459558
24232,19-4042,0.08412929417396342
24336,19-4043,0.10298497171690892
24440,19-4051,-0.09776667698265726
24648,19-4061,1.2229100603293335
24752,19-4071,-0.6777790981433184
24856,19-4092,0.14227862814502404
24960,19-4099,0.08822265736664947
25168,19-5011,0.7829906158057471
25272,19-5012,0.34399341729424643
25376,21-1011,0.7735136683561633
25480,21-1012,1.390653349799162
25584,21-1013,1.444274569345804
25688,21-1014,1.3673025413130964
25792,21-1015,1.0899719766450386
25896,21-1021,0.7580641267145181
26000,21-1022,1.0264154152409082
26104,21-1023,1.1805362861402136
26208,21-1091,0.6740097669143121
26312,21-1092,0.21733145217608743
26416,21-1093,0.7806366196871929
26520,21-1094,0.02291349193134059
26624,21-2011,1.3859574248183937
26728,21-2021,1.2114588767178207
26832,23-1011,1.3906421927347794
26936,23-1012,1.3761690783652258
27040,23-1021,1.4123297249852858
27144,23-1022,1.3663771945179217
27248,23-1023,1.5732578008560245
27352,23-2011,1.1923592831086591
27456,23-2093,1.2593102978177422
27560,25-1011,1.328304404249684
27664,25-1021,1.257149777631492
27768,25-1022,1.3177965203107256
27872,25-1031,1.201687109666113
27976,25-1032,1.3301367532748076
28080,25-1041,0.7367180107300788
28184,25-1042,1.2072531052624234
28288,25-1043,0.9844553241437469
28392,25-1051,1.2853722758244452
28496,25-1052,1.3129948166006518
28600,25-1053,1.3264730878250577
28704,25-1054,1.0247879344749118
28808,25-1061,1.2648647226136243
28912,25-1062,1.2878373556200349
