Institution Name,City,Province,Region,Reg,Qualification,IsConstruction,Is_Development,Is_Assessment,Trainer Count,Enrolled,Graduates,Number of Accredited Ass Qual,Assessed,Certified
APLUS TECHNICAL AND VOCATIONAL SCHOOL INC.,Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,0,4,336,334,0,0,0
"PHILIPPINE ACADEMY FOR TECHNICAL AND VOCATIONAL SKILLS, INC.",Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,1,0,4,387,334,0,0,0
TESDA Women's Center,Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Bookkeeping NC III,FALSE,1,0,2,310,333,0,0,0
Laborlink Technical Institute Corporation,Quezon City,Quezon City,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC II,TRUE,1,0,2,224,330,0,0,0
HUMAN RESOURCE DEVELOPMENT CENTER (HRDC),Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Electrical Installation and Maintenance NC III,TRUE,1,0,2,329,328,0,0,0
"HEZEKIAH VOCATIONAL & TECHNOLOGICAL TRAINING INSTITUTE, (HVTTI) INC.",Imus,Cavite,Region IVA - CALABARZON,4A,Contact Center Services NC II,FALSE,1,0,4,384,327,0,0,0
GLOBETEK SCIENCE FOUNDATION INC.,Makati City,PASMAK,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,1,4,348,326,1,171,168
SYNERGY ASSESSMENT & TRAINING CENTER,Malvar,Batangas,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC I,TRUE,1,0,5,264,323,0,0,0
PHILIPPINE SCHOOL FOR TECHNOLOGY DEVELOPMENT AND INNOVATION INC.,Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Electrical Installation and Maintenance NC II,TRUE,1,1,1,357,322,1,73,73
LUCENA TECHNOLOGICAL INSTITUTE INCORPORATED,Lucena City,Quezon,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC I,TRUE,1,1,7,221,318,1,219,219
AUTOZONE DRIVING SCHOOLINC.,San Pedro,Laguna,Region IVA - CALABARZON,4A,Driving NC II,FALSE,1,0,3,317,317,0,0,0
KAMELO MANPOWER SKILLS DEVELOPMENT CENTER INC.,Batangas City,Batangas,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC II,TRUE,1,0,4,207,317,0,0,0
SACRED HEART TECHNICAL & VOCATIONAL ASSESSMENT CENTER INC.,Quezon City,Quezon City,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,1,3,144,316,1,265,265
PHILIPPINE SCHOOL FOR TECHNOLOGY DEVELOPMENT AND INNOVATION INC.,Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC II,TRUE,1,1,1,326,314,1,149,149
Skillful Training and Assessment Center Inc.,Lemery,Batangas,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC I,TRUE,1,0,2,243,314,0,0,0
RUBIKS MANPOWER TRAINING CENTER INC.,Lipa City,Batangas,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,1,1,4,291,313,1,424,428
QTEK TRAINING AND ASSESSMENT CENTER INC.,Mandaluyong City,PAMAMARISAN,National Capital Region (NCR),NCR,Carpentry NC II,TRUE,1,0,3,373,312,0,0,0
THE BIG FIVE TRAINING AND ASSESSMENT CENTER INC.,San Pablo City,Laguna,Region IVA - CALABARZON,4A,Computer Systems Servicing NC II,FALSE,1,1,6,485,311,1,365,547
"COLEGIO DE SAN EXPEDITO, IN.C",Sariaya,Quezon,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,1,0,3,304,309,0,0,0
"INTERNATIONAL TRAINING FOR ENHANCEMENT & ASSESSMENT CENTER, INC.",Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC I,TRUE,1,0,2,163,308,0,0,0
"GATEWAYS INSTITUTE OF SCIENCE & TECHNOLOGY, INC. (Mandaluyong)",Mandaluyong City,PAMAMARISAN,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,0,2,315,307,0,0,0
MARANATHA TECHNOLOGICAL INSTITUTE AND TRAINING CENTER CORPORATION,Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,1,0,4,310,307,0,0,0
"ST. CATHERINE INSTITUTE OF TECHNOLOGY, INC.",Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,0,1,179,306,0,0,0
Computer Site Ins. Inc.,San Pedro,Laguna,Region IVA - CALABARZON,4A,Technical Drafting NC II,FALSE,1,0,5,365,306,0,0,0
JOYSIS TECH VOC INC.,Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Programming (Java) NC III,FALSE,1,0,3,279,304,0,0,0
THE BIG FIVE TRAINING AND ASSESSMENT CENTER INC.,San Pablo City,Laguna,Region IVA - CALABARZON,4A,Electronic Products Assembly and Servicing NC II,FALSE,1,1,2,352,303,1,307,310
"CAPT. WILIJADO P. ABUID FOUNDATION, INC.",Pasay City,PASMAK,National Capital Region (NCR),NCR,Ship's Catering Services NC I,FALSE,1,1,4,1131,300,1,2304,2301
COLLEGE OF SAINT AMATIEL INC.,Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,1,2,256,299,1,122,122
ST. THOMAS AQUINAS INSTITUTE OF CALOOCAN INC.,Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,1,0,4,383,298,0,0,0
TESDA MANILA TRAINING AND ASSESSMENT CENTER (TMTAC),"Paco, City of Manila",City of Manila,National Capital Region (NCR),NCR,Trainers Methodology Level I,FALSE,1,0,2,304,297,0,0,0
