Institution Name,City,Province,Region,Reg,Qualification,IsConstruction,Is_Development,Is_Assessment,Trainer Count,Enrolled,Graduates,Number of Accredited Ass Qual,Assessed,Certified
BRILLIANT MINDS REVIEW AND TRAINING SCHOOL CORP.,San Juan City,PAMAMARISAN,National Capital Region (NCR),NCR,Hilot (Wellness Massage) NC II,FALSE,1,0,1,58,7,0,0,0
CHEF JHON'S TRAINING AND ASSESSMENT INC.,"Santa Cruz, City of Manila",City of Manila,National Capital Region (NCR),NCR,Ship's Catering Services NC I,FALSE,1,0,1,7,7,0,0,0
FAST LOGISTICS LEARNING AND DEVELOPMENT CORPORATION,Cabuyao,Laguna,Region IVA - CALABARZON,4A,Heavy Equipment Operation (Forklift) NC II,TRUE,1,1,1,6,6,1,215,203
ST. MICHAEL TVET TRAINING AND ASSESSMENT CENTER INC.,Lucena City,Quezon,Region IVA - CALABARZON,4A,Food and Beverage Services NC II,FALSE,1,1,1,6,6,1,17,17
"Lakewood School of Alabang, Inc.",Muntinlupa City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Trainers Methodology Level I,FALSE,1,0,1,6,6,0,0,0
PARAÑAQUE CITY COLLEGE,Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Bookkeeping NC III,FALSE,1,0,0,0,6,0,0,0
PROFETA TECHNICAL AND VOCATIONAL SCHOOL INCORPORATED,Tanza,Cavite,Region IVA - CALABARZON,4A,Agricultural Crops Production NC II,FALSE,1,0,1,6,5,0,0,0
UNIVERSITY OF BATANGAS,Batangas City,Batangas,Region IVA - CALABARZON,4A,Automotive Servicing NC I,FALSE,1,0,1,129,5,0,0,0
TCAI INC.,Makati City,PASMAK,National Capital Region (NCR),NCR,Cookery NC II,FALSE,1,0,1,3,5,0,0,0
PROFETA TECHNICAL AND VOCATIONAL SCHOOL INCORPORATED,Tanza,Cavite,Region IVA - CALABARZON,4A,Organic Agriculture Production NC II,FALSE,1,0,1,5,4,0,0,0
SAN PEDRO TECHNOLOGICAL INSTITUTE,San Pedro,Laguna,Region IVA - CALABARZON,4A,Massage Therapy NC II,FALSE,1,0,0,0,4,0,0,0
"FIVE STAR STANDARD COLLEGE, INC. ",Bacoor City,Cavite,Region IVA - CALABARZON,4A,Cookery NC II,FALSE,1,0,1,14,4,0,0,0
QTEK DYNAMIC TRAINING INC.,Silang,Cavite,Region IVA - CALABARZON,4A,Carpentry NC II,TRUE,1,0,1,13,4,0,0,0
MFI POLYTECHNIC INSTITUTE INC.,Jala-Jala,Rizal,Region IVA - CALABARZON,4A,Electrical Installation and Maintenance NC II,TRUE,1,0,2,20,4,0,0,0
PHILIPPINE HEAVY EQUIPMENT OPERATOR AND ASSESSMENT TRAINING CENTER INC.,Taytay,Rizal,Region IVA - CALABARZON,4A,Heavy Equipment Operation (Hydraulic Excavator) NC II,TRUE,1,1,1,3,3,1,222,201
Emilio Aguinaldo Educational Corporation Doing Business Under The Name And Style Of Aguinaldo International School And Emilio Aguinaldo College (formerly: Emilio Aguinaldo College),"Ermita, City of Manila",City of Manila,National Capital Region (NCR),NCR,Dental Laboratory Technology Services (Removable Dentures/Appliances) NC II,FALSE,1,0,1,8,3,0,0,0
ARK TECHNOLOGICAL INSTITUTE EDUCATION SYSTEM INC.,Lucena City,Quezon,Region IVA - CALABARZON,4A,Computer Systems Servicing NC II,FALSE,1,0,1,3,3,0,0,0
"THE ALPS TECHNOLOGY ACADEMY (TATA), INC.",Makati City,PASMAK,National Capital Region (NCR),NCR,Dental Laboratory Technology Services (Fixed Dentures/Restorations) NC II,FALSE,1,0,0,0,3,0,0,0
Digital Communication and Technological College Inc.,Lucena City,Quezon,Region IVA - CALABARZON,4A,Trainers Methodology Level I,FALSE,1,0,1,3,3,0,0,0
PHILIPPINE HEAVY EQUIPMENT OPERATOR AND ASSESSMENT TRAINING CENTER INC.,Taytay,Rizal,Region IVA - CALABARZON,4A,Heavy Equipment Operation (Forklift) NC II,TRUE,1,1,1,2,2,1,161,153
PSAA INTERNATIONAL ACADEMY INC.,"Pandacan, City of Manila",City of Manila,National Capital Region (NCR),NCR,Caregiving (Elderly) NC II,FALSE,1,1,1,2,2,1,70,69
UNIVERSITY OF BATANGAS,Batangas City,Batangas,Region IVA - CALABARZON,4A,Electrical Installation and Maintenance NC II,TRUE,1,0,1,28,2,0,0,0
"THE ALPS TECHNOLOGY ACADEMY (TATA), INC.",Makati City,PASMAK,National Capital Region (NCR),NCR,Dental Laboratory Technology Services (Removable Dentures/Appliances) NC II,FALSE,1,0,0,0,2,0,0,0
"PRINCE GIRON INTERNATIONAL TRAINING CENTRE, INC.","Paco, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,1,0,1,2,2,0,0,0
CHEF JHON'S TRAINING AND ASSESSMENT INC.,"Santa Cruz, City of Manila",City of Manila,National Capital Region (NCR),NCR,Ships' Catering (Ships' Cooks) NC III,FALSE,1,0,1,2,2,0,0,0
ST. MICHAEL TVET TRAINING AND ASSESSMENT CENTER INC.,Lucena City,Quezon,Region IVA - CALABARZON,4A,Bookkeeping NC III,FALSE,1,1,1,1,1,1,191,152
EASTGATE MARITIME TRAINING CENTER INC.,City of Dasmariñas,Cavite,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC I,TRUE,1,1,1,1,1,1,75,70
JEM JOB EXCELLENCE AND MASTERY ASSESSMENT AND TRAINING CENTER INC.,Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Electrical Installation and Maintenance NC II,TRUE,1,1,1,1,1,1,25,25
TESDA-LLDA PROVINCIAL TRAINING CENTER,Calauan,Laguna,Region IVA - CALABARZON,4A,Agroentrepreneurship NC II,FALSE,1,1,1,16,1,1,16,16
AINA INTEGRATED FARM,Pagbilao,Quezon,Region IVA - CALABARZON,4A,Agroentrepreneurship NC II,FALSE,1,0,1,17,1,0,0,0
Jacobo Z. Gonzales Memorial School of Arts and Trades,City of Biñan,Laguna,Region IVA - CALABARZON,4A,Electronic Products Assembly and Servicing NC II,FALSE,1,0,2,34,1,0,0,0
Jacobo Z. Gonzales Memorial School of Arts and Trades,City of Biñan,Laguna,Region IVA - CALABARZON,4A,Shielded Metal Arc Welding (SMAW) NC I,TRUE,1,0,2,51,1,0,0,0
"DIVINE MERCY COLLEGE FOUNDATION, INC.",Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Caregiving NC II,FALSE,1,0,1,31,1,0,0,0
LUXEBEAUTE INTERNATIONAL ACADEMY INC.,Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Caregiving NC II,FALSE,1,0,1,1,1,0,0,0
UNIVERSAL COLLEGES OF PARAÑAQUE INC. (FORMERLY: UNIVERSAL COLLEGE OF NURSING INC.),Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Caregiving NC II,FALSE,1,0,1,1,1,0,0,0
NATIONAL UNIVERSITY,"Sampaloc, City of Manila",City of Manila,National Capital Region (NCR),NCR,Dental Technology NC IV,FALSE,1,0,0,0,1,0,0,0
"GOLDEN CHI TRAINING AND ASSESSMENT CENTER, INC.",Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,1,0,1,1,1,0,0,0
AVIATION TECHNICAL SCHOOL OF COTABATO,Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Electrical Installation and Maintenance NC II,TRUE,1,0,1,1,1,0,0,0
"JAPRA INTERNATIONAL TRAINING & ASSESSMENT CENTER, INC.","Malate, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,4831,4687
"LTC TRAINING, ASSESSMENT AND MULTI SERVICES, INC.",Makati City,PASMAK,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,4582,4568
"MANILAPHIL SKILLS INSTITUTE, INC.","Malate, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,3976,3951
"KOMS TRAINING AND ASSESSMENT CENTER, INC.","Paco, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,3602,3501
GREEN HOUSE TRAINING AND ASSESSMENT CENTER INC.,Makati City,PASMAK,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,3503,3490
UNITED ACHIEVER ASSESSMENT & TRAINING CENTER INC.,Pasay City,PASMAK,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,3420,3386
YKMK GLOBAL TRAINING AND ASSESSMENT CENTER INC.,Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,3341,3336
"FIRST PLACE TRAINING AND ASSESSMENT CENTER, INC.",Makati City,PASMAK,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,3134,3110
MNM ASSESSMENT CENTER INC.,Pasay City,PASMAK,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,3104,3101
TRINITY URSUA TECHNICAL INSTITUTE AND ASSESSMENT CENTER INC.,"Ermita, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,3158,3067
ALMAMLAKA TRAINING AND ASSESSMENT CORPORATION ,Pasay City,PASMAK,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,2755,2754
I-ASSESS AND SKILLS DEVELOPMENT INC.,"Malate, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,2701,2649
BLESSING OFW INTERNATIONAL TRAINING AND ASSESSMENT CENTER INC.,"Malate, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,2663,2584
JCDM INTERNATIONAL TRAINING AND ASSESSMENT CENTER INC.,Makati City,PASMAK,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,2526,2520
"PINOY HELPING HAND SPECIALIST, INC.",Mandaluyong City,PAMAMARISAN,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,2505,2472
MASTERCORE ACADEMY INC.,Pasay City,PASMAK,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,2253,2248
JIRR TRAINING AND ASSESSMENT CENTER INC.,"San Nicolas, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,2176,2149
SALAAM TRAINING AND ASSESSMENT CENTER CORPORATION,Pasay City,PASMAK,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,2148,2140
"ROE ABBOT TRAINING AND DEVELOPMENT INSTITUTE, INC.","Paco, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,2080,2037
IMPERIUM TRAINING CENTER INC.,Paete,Laguna,Region IVA - CALABARZON,4A,Caregiving NC II,FALSE,0,1,0,0,0,1,2041,2033
MJ INTERNATIONAL HUMAN RESOURCE SKILLS ASSESSMENT CENTER INC.,"Malate, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,1991,1936
LEXUS ACADEMY TRAINING AND ASSESSMENT CENTER INC.,Pasay City,PASMAK,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,1906,1904
"SAINT FRANCIS DE ASSISI EDUCATIONAL FOUNDATION, INC.",Las Piñas City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Hairdressing NC II,FALSE,0,1,0,0,0,1,939,1815
PHILIPPINE INDUSTRIAL EQUIPMENT TECHNICAL INSTITUTE INC.,City of Biñan,Laguna,Region IVA - CALABARZON,4A,Heavy Equipment Operation (Forklift) NC II,TRUE,0,1,0,0,0,1,1867,1788
QUEST TRAINING AND ASSESSMENT CENTER CORP.,Quezon City,Quezon City,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,1729,1724
"IETI COLLEGE, INC.",Muntinlupa City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,0,1,0,0,0,1,1726,1712
"SKYBORN TRAINING CENTER, INC.","Ermita, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,1720,1688
EXCELLENT GLOBAL SKILLS TRAINING AND ASSESSMENT CENTER INC.,Pasay City,PASMAK,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,1469,1467
"BOWLINE TRAINING AND ASSESSMENT CENTER, INC.",Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,1476,1454
"ADVENT CAREGIVER SCHOOL, INC.",City of Biñan,Laguna,Region IVA - CALABARZON,4A,Caregiving NC II,FALSE,0,1,0,0,0,1,1447,1443
"Golden Chi Training and Assessment Center, Inc.",Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,1447,1410
DIVINE MERCY INTERNATIONAL INSTITUTE INC.,Silang,Cavite,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,0,1,0,0,0,1,1364,1399
"SAINT FRANCIS DE ASSISI EDUCATIONAL FOUNDATION, INC.",Las Piñas City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Beauty Care (Nail Care) Services NC II,FALSE,0,1,0,0,0,1,1360,1360
"AAA CAREER DEVELOPMENT, INC.",Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,1329,1288
CORTIJO DE PALSABANGON FARM OPC,Pagbilao,Quezon,Region IVA - CALABARZON,4A,Organic Agriculture Production NC II,FALSE,0,1,0,0,0,1,1312,1276
"NOBLE VISION TRAINING AND ASSESSMENT INSTITUTE, INC.",Muntinlupa City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Heavy Equipment Operation (Forklift) NC II,TRUE,0,1,0,0,0,1,1249,1237
"GERSON TECH INTERNATIONAL TRAINING AND ASSESSMENT CENTER, INC.","Ermita, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,1270,1235
"GLOBAL OVERSEAS TRAINING INSTITUTE FOR HEAVY EQUIPMENT OPERATORS & SKILLS DEVELOPMENT (GOTIHED), INC",Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Heavy Equipment Operation (Forklift) NC II,TRUE,0,1,0,0,0,1,1263,1224
UCHENNA TRAINING AND ASSESSMENT CENTER INC.,Quezon City,Quezon City,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,1228,1210
CORIANDER CULINARY ACADEMY INC.,Ibaan,Batangas,Region IVA - CALABARZON,4A,Electrical Installation and Maintenance NC II,TRUE,0,1,0,0,0,1,1190,1188
"ST. PETER VELLE TECHNICAL TRAINING CENTER, INC.",Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,RAC Servicing (DomRAC) NC II,FALSE,0,1,0,0,0,1,1133,1133
PHILIPPINE WELDING TECHNOLOGY SKILLS & SERVICES CENTER INC.,Navotas City,CAMANAVA,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC II,TRUE,0,1,0,0,0,1,1105,1105
"DIAMOND SAPPHIRE TRAINING AND ASSESSMENT CENTER CO.,INC.","Malate, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,1116,1089
"BEST SKILLS ENHANCERS TRAINING AND ASSESSMENT CENTER, INC.","Binondo, City of Manila",City of Manila,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,1104,1073
"KING EAGLE TRAINING AND ASSESSMENT CENTER, CORP.",Quezon City,Quezon City,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,1077,1069
PRO-TECH SKILLS DEVELOPMENT CENTER CORPORATION,Makati City,PASMAK,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,1055,1054
JACOBO Z. GONZALES MEMORIAL SCHOOL OF ARTS AND TRADES,City of Biñan,Laguna,Region IVA - CALABARZON,4A,Domestic Work NC II,FALSE,0,1,0,0,0,1,1048,1034
"LYCEUM OF THE PHILIPPINES UNIVERSITY, INC. DOING BUSINESS UNDER THE NAMES AND STYLES OF THE BAYLEAF ","Intramuros, City of Manila",City of Manila,National Capital Region (NCR),NCR,Food and Beverage Services NC II,FALSE,0,1,0,0,0,1,1037,1034
SOUTHERN INSTITUTE OF MARITIME STUDIES-MANILA,"Ermita, City of Manila",City of Manila,National Capital Region (NCR),NCR,Ship's Catering Services NC I,FALSE,0,1,0,0,0,1,1037,1033
"LYCEUM OF THE PHILIPPINES UNIVERSITY, INC. DOING BUSINESS UNDER THE NAMES AND STYLES OF THE BAYLEAF ","Intramuros, City of Manila",City of Manila,National Capital Region (NCR),NCR,Tourism Promotion Services NC II,FALSE,0,1,0,0,0,1,1032,1031
"LYCEUM OF THE PHILIPPINES UNIVERSITY, INC. DOING BUSINESS UNDER THE NAMES AND STYLES OF THE BAYLEAF ","Intramuros, City of Manila",City of Manila,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,0,1,0,0,0,1,1024,1020
HIGH VISION TRAINING CENTER,Quezon City,Quezon City,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,1030,1020
"TOYOTA MOTOR PHILIPPINES SCHOOL OF TECHNOLOGY, INC.",City of Santa Rosa,Laguna,Region IVA - CALABARZON,4A,Automotive Servicing NC I,FALSE,0,1,0,0,0,1,1018,1018
"AISTAC ALPHA INNOVATIVE SKILLS TRAINING AND ASSESSMENT CENTER, INC.",Muntinlupa City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Heavy Equipment Operation (Forklift) NC II,TRUE,0,1,0,0,0,1,993,987
"SAINT FRANCIS DE ASSISI EDUCATIONAL FOUNDATION, INC.",Las Piñas City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Massage Therapy NC II,FALSE,0,1,0,0,0,1,955,954
MC TECH TRAINING AND ASSESSMENT CENTER INC.,Batangas City,Batangas,Region IVA - CALABARZON,4A,Computer Systems Servicing NC II,FALSE,0,1,0,0,0,1,822,951
"CAPT. WILIJADO P. ABUID FOUNDATION, INC.",Pasay City,PASMAK,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,944,943
ST. CATHERINE INSTITUTE OF TECHNOLOGY INC. ,Malabon City,CAMANAVA,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,945,943
"ROE ABBOT TRAINING AND DEVELOPMENT INSTITUTE, INC.","Paco, City of Manila",City of Manila,National Capital Region (NCR),NCR,Caregiving NC II,FALSE,0,1,0,0,0,1,944,937
ASIAN CHRISTIAN TECHNOLOGICAL SCHOOL & COLLEGES INC.,Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,0,1,0,0,0,1,925,935
"STEP-UP INTERNATIONAL TRAINING AND ASSESSMENT CENTER, INC",Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,936,931
OVERSEAS ACADEMY SKILLS AND ASSESSMENT CENTER INC.,Makati City,PASMAK,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,924,923
"CSTC COLLEGE OF SCIENCES, TECHNOLOGY AND COMMUNICATIONS, INC.",Sariaya,Quezon,Region IVA - CALABARZON,4A,Cookery NC II,FALSE,0,1,0,0,0,1,922,920
"MOTHER THERESA INSTITUTE OF TECHNOLOGY AND ASSESSMENT CENTER, INC.",Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Caregiving NC II,FALSE,0,1,0,0,0,1,883,873
"TOYOTA MOTOR PHILIPPINES SCHOOL OF TECHNOLOGY, INC.",City of Santa Rosa,Laguna,Region IVA - CALABARZON,4A,Automotive Servicing (Engine Repair) NC II,FALSE,0,1,0,0,0,1,856,854
"LYCEUM OF ALABANG, INC.",Muntinlupa City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Massage Therapy NC II,FALSE,0,1,0,0,0,1,841,841
EMMANUEL JOHN INSTITUTE OF SCIENCE AND TECHNOLOGY INC. ,Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Computer Systems Servicing NC II,FALSE,0,1,0,0,0,1,840,840
"BOWLINE TRAINING AND ASSESSMENT CENTER, INC.",Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Housekeeping NC II,FALSE,0,1,0,0,0,1,840,840
"SAV1 SKILLS TRAINING AND DEVELOPMENT CENTER, INC.",Parañaque City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Pharmacy Services NC III,FALSE,0,1,0,0,0,1,855,828
"MATTISONS INSTITUTE AND ASSESSMENT CENTER, INC.",Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,809,806
TRIDENT-ASSESSMENT AND TECHNICAL TRAINING CENTER INC.,Caloocan City,CAMANAVA,National Capital Region (NCR),NCR,Ships' Catering (Ships' Cooks) NC III,FALSE,0,1,0,0,0,1,793,793
"GOLDEN APOL CARE TRAINING AND ASSESSMENT CENTER, INC.",Las Piñas City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Domestic Work NC II,FALSE,0,1,0,0,0,1,768,765
"CENTER FOR COMPETENCIES ENHANCEMENT AND DEVELOPMENT, INCORPORATED",City of Calamba,Laguna,Region IVA - CALABARZON,4A,Food and Beverage Services NC II,FALSE,0,1,0,0,0,1,758,756
"ACCESS PASIG COMPUTER AND TECHNICAL COLLEGES, INC.",Pasig City,PAMAMARISAN,National Capital Region (NCR),NCR,Cookery NC II,FALSE,0,1,0,0,0,1,746,746
QUEZON NATIONAL AGRICULTURAL SCHOOL,Pagbilao,Quezon,Region IVA - CALABARZON,4A,Organic Agriculture Production NC II,FALSE,0,1,0,0,0,1,749,736
ST. ANNE COLLEGE OF LUCENA INC.,Lucena City,Quezon,Region IVA - CALABARZON,4A,Cookery NC II,FALSE,0,1,0,0,0,1,734,734
"ST. PETER VELLE TECHNICAL TRAINING CENTER, INC.",Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Automotive Servicing (Engine Repair) NC II,FALSE,0,1,0,0,0,1,722,722
DIVINE MERCY INTERNATIONAL INSTITUTE INC.,Silang,Cavite,Region IVA - CALABARZON,4A,Barista NC II,FALSE,0,1,0,0,0,1,719,719
"ST. PETER VELLE TECHNICAL TRAINING CENTER, INC.",Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Automotive Servicing NC I,FALSE,0,1,0,0,0,1,711,711
"PROBATON TECHNICAL SKILLS INSTITUTE, INC.",Quezon City,Quezon City,National Capital Region (NCR),NCR,Scaffolding Works (Supported Type Scaffold) NC II,TRUE,0,1,0,0,0,1,707,707
TECHNO SPEAR TRAINING CENTER OF THE PHILIPPINES INCORPORATED,Marikina City,PAMAMARISAN,National Capital Region (NCR),NCR,Rigging NC I,TRUE,0,1,0,0,0,1,702,700
"LYCEUM OF THE PHILIPPINES UNIVERSITY, INC. DOING BUSINESS UNDER THE NAMES AND STYLES OF THE BAYLEAF ","Intramuros, City of Manila",City of Manila,National Capital Region (NCR),NCR,Front Office Services NC II,FALSE,0,1,0,0,0,1,701,700
"RBM SKILLS TRAINING AND ASSESSMENT CENTER, INC.","Paco, City of Manila",City of Manila,National Capital Region (NCR),NCR,Housekeeping NC II,FALSE,0,1,0,0,0,1,695,695
ASIAN CHRISTIAN TECHNOLOGICAL SCHOOL & COLLEGES INC.,Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Electrical Installation and Maintenance NC II,TRUE,0,1,0,0,0,1,689,689
"LYCEUM OF THE PHILIPPINES UNIVERSITY, INC. DOING BUSINESS UNDER THE NAMES AND STYLES OF THE BAYLEAF ","Intramuros, City of Manila",City of Manila,National Capital Region (NCR),NCR,Housekeeping NC II,FALSE,0,1,0,0,0,1,688,688
GOALS TRAINING AND ASSESSMENT INSTITUTE INC,Lipa City,Batangas,Region IVA - CALABARZON,4A,Bread and Pastry Production NC II,FALSE,0,1,0,0,0,1,683,686
"LYCEUM OF THE PHILIPPINES UNIVERSITY - BATANGAS, INC.",Batangas City,Batangas,Region IVA - CALABARZON,4A,Cookery NC II,FALSE,0,1,0,0,0,1,676,676
D.M. CONSUNJI TECHNICAL TRAINING CENTER INC.,Taguig City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Scaffolding Works (Supported Type Scaffold) NC II,TRUE,0,1,0,0,0,1,693,671
SMI INSTITUTE INC. (FORMERLY: TECHTRADE TRAINING AND ASSESSMENT CENTER INC.),Pasay City,PASMAK,National Capital Region (NCR),NCR,Bread and Pastry Production NC II,FALSE,0,1,0,0,0,1,695,666
SMI INSTITUTE INC. (FORMERLY: TECHTRADE TRAINING AND ASSESSMENT CENTER INC.),Pasay City,PASMAK,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,0,1,0,0,0,1,665,658
RCTI TRAINING AND ASSESSMENT CORP.,"Malate, City of Manila",City of Manila,National Capital Region (NCR),NCR,Ship's Catering Services NC I,FALSE,0,1,0,0,0,1,651,651
"ST. PETER VELLE TECHNICAL TRAINING CENTER, INC.",Valenzuela City,CAMANAVA,National Capital Region (NCR),NCR,Motorcycle/Small Engine Servicing NC II,FALSE,0,1,0,0,0,1,647,647
BERNARDO COLLEGE,Las Piñas City,MUNTIPARLASTAPAT,National Capital Region (NCR),NCR,Electrical Installation and Maintenance NC II,TRUE,0,1,0,0,0,1,649,647
ACETAC INSTITUTE OF TECHNOLOGY INC.,City of Antipolo,Rizal,Region IVA - CALABARZON,4A,Massage Therapy NC II,FALSE,0,1,0,0,0,1,647,646
BLUERIDGE PACIFIC INSTITUTE INC.,"Binondo, City of Manila",City of Manila,National Capital Region (NCR),NCR,Cookery NC II,FALSE,0,1,0,0,0,1,640,640
PHILIPPINE WELDING TECHNOLOGY SKILLS & SERVICES CENTER INC.,Navotas City,CAMANAVA,National Capital Region (NCR),NCR,Electrical Installation and Maintenance NC II,TRUE,0,1,0,0,0,1,639,639
"BEATITUDES TECHNOLOGICAL AND THEOLOGICAL COLLEGE - IMUS, CAVITE INC.",Imus,Cavite,Region IVA - CALABARZON,4A,Food and Beverage Services NC II,FALSE,0,1,0,0,0,1,630,630
"ADVENT CAREGIVER SCHOOL, INC.",City of Biñan,Laguna,Region IVA - CALABARZON,4A,Health Care Services NC II,FALSE,0,1,0,0,0,1,630,630
"THE ASIAN ACADEMY OF PROFESSIONAL STUDIES (TAAPS), INCORPORATED",Quezon City,Quezon City,National Capital Region (NCR),NCR,Events Management Services NC III,FALSE,0,1,0,0,0,1,622,618
FILJAP WELDING INSTITUTE AND TRADETEST CENTER INC.,"Sampaloc, City of Manila",City of Manila,National Capital Region (NCR),NCR,Shielded Metal Arc Welding (SMAW) NC II,TRUE,0,1,0,0,0,1,625,617
"THE ASIAN ACADEMY OF PROFESSIONAL STUDIES (TAAPS), INCORPORATED",Quezon City,Quezon City,National Capital Region (NCR),NCR,Housekeeping NC II,FALSE,0,1,0,0,0,1,590,589
