,,,,,,,,,,,,,,,,
"Importing 1.1
(Identifier from Pooling)
[Region|Province|Sector|Sub|Job|Program|Type|Rank]",Region,Province,Sector,Subsector,Jobs Requirements,Program,"Program
Type","Priority
Ranking
(Province)",,"Supply Gap
(Baseline - Available Supply)","RP Infra Gap
(Requirement - Existing)","Trainers Infra Gap
(Requirement - Existing)","AC Infra Gap
(Requirement - Existing)","CA Infra Gap
(Requirement - Existing)",Remarks,
,,,,,,,,,,,,,,,"Subject
(multiple selection is applicable)",Remarks
,,,Sector,Subsector,Jobs Requirements,Program,Type,Ranking,,"Total: 161,478","Total: 1,497",Total: 696,Total: 518,Total: 52,,
REGION_VII|BOHOL|CONSTRUCTION|DRIVING|DRIVERS|DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,DRIVING,DRIVERS,DRIVING (PASSENGER BUS/STRAIGHT TRUCK) NC III,WITH TR,HIGH,,"1,704",16,7,9,1,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|ELECTRICAL INSTALLATION|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC III|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,ELECTRICAL INSTALLATION,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC III,WITH TR,HIGH,,"1,699",8,0,3,0,#REF!,#REF!
"REGION_VII|BOHOL|CONSTRUCTION|HELPER MASON, CONSTRUCTION HELPER|MASON|MASONRY NC I|WITH TR|HIGH",REGION_VII,BOHOL,CONSTRUCTION,"HELPER MASON, CONSTRUCTION HELPER",MASON,MASONRY NC I,WITH TR,HIGH,,"1,651",18,10,2,0,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|HYDRAULIC EXCAVATOR OPERATOR|HYDRAULIC OPERATORS|HEAVY EQUIPMENT OPERATION (HYDRAULIC EXCAVATOR) NC II|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,HYDRAULIC EXCAVATOR OPERATOR,HYDRAULIC OPERATORS,HEAVY EQUIPMENT OPERATION (HYDRAULIC EXCAVATOR) NC II,WITH TR,HIGH,,"1,704",16,9,6,0,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|INDOOR ENVIRONMENT QUALITY|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC II|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,INDOOR ENVIRONMENT QUALITY,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC II,WITH TR,HIGH,,"1,354",13,0,0,0,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|INDUSTRIAL PLUMBING|PLUMBERS|PLUMBING NC III|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,INDUSTRIAL PLUMBING,PLUMBERS,PLUMBING NC III,WITH TR,HIGH,,"1,704",18,10,9,1,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|MMAW|WELDER|MANUAL METAL ARC WELDING (MMAW) NC II|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,MMAW,WELDER,MANUAL METAL ARC WELDING (MMAW) NC II,WITH TR,HIGH,,"1,704",16,10,9,1,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|MOBILE CRANE OPERATOR|CRANE OPERATORS|HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,MOBILE CRANE OPERATOR,CRANE OPERATORS,HEAVY EQUIPMENT OPERATION (CRAWLER CRANE) NC III,WITH TR,HIGH,,"1,704",16,10,9,1,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|OFF-HIGHWAY DUMP TRUCK (RIGID) OPERATOR|DUMP TRUCK OPERATOR|HEAVY EQUIPMENT OPERATION (RIGID OFF-HIGHWAY DUMP TRUCK) NC II|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,OFF-HIGHWAY DUMP TRUCK (RIGID) OPERATOR,DUMP TRUCK OPERATOR,HEAVY EQUIPMENT OPERATION (RIGID OFF-HIGHWAY DUMP TRUCK) NC II,WITH TR,HIGH,,"1,704",10,9,6,1,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|PIPEFITTER|FITTERS|PIPEFITTING (METALLIC) NC II|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,PIPEFITTER,FITTERS,PIPEFITTING (METALLIC) NC II,WITH TR,HIGH,,"1,704",13,10,9,1,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|PROGRAMABLE LOGIC CONTROLLER|ELECTRICIAN|ELECTRICAL INSTALLATION AND MAINTENANCE NC IV|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,PROGRAMABLE LOGIC CONTROLLER,ELECTRICIAN,ELECTRICAL INSTALLATION AND MAINTENANCE NC IV,WITH TR,HIGH,,"1,413",9,10,7,1,#REF!,#REF!
REGION_VII|BOHOL|CONSTRUCTION|RAC TECHNICIAN|RAC/HVAC TECHNICIAN/INSTALLER|RAC SERVICING (DOMRAC) NC II|WITH TR|HIGH,REGION_VII,BOHOL,CONSTRUCTION,RAC TECHNICIAN,RAC/HVAC TECHNICIAN/INSTALLER,RAC SERVICING (DOMRAC) NC II,WITH TR,HIGH,,"1,699",18,8,9,0,#REF!,#REF!
